0.216 0.31 0.254 0.284 0.304 0.296 0.332 0.308 0.262 0.278
0.116 0.084 0.168 0.106 0.236 0.136 0.152 0.074 0.104 0.218
0.006 0.006 0 0.008 0.006 0.002 0.004 0.008 0.002 0.004
0.012 0.04 0.004 0.01 0.02 0.014 0.002 0.022 0.01 0.008
0.554 0.338 0.336 0.408 0.394 0.328 0.35 0.378 0.53 0.392
0.07 0.044 0.042 0.062 0.042 0.05 0.09 0.038 0.168 0.04
0.406 0.396 0.22 0.312 0.422 0.3 0.392 0.28 0.302 0.288
0.342 0.34 0.398 0.704 0.812 0.406 0.406 0.408 0.798 0.42
0.246 0.106 0.224 0.154 0.14 0.166 0.158 0.144 0.102 0.22
0.132 0.134 0.13 0.146 0.13 0.12 0.168 0.138 0.162 0.158
0.006 0.022 0.012 0.022 0.008 0.004 0.004 0.006 0.022 0.03
0.338 0.286 0.25 0.398 0.258 0.394 0.226 0.268 0.336 0.28
0.848 0.784 0.898 0.872 0.766 0.814 0.796 0.842 0.844 0.82
0.076 0.096 0.022 0.032 0.078 0.05 0.114 0.12 0.062 0.074
0.038 0.042 0.018 0.01 0.022 0.02 0.022 0.02 0.018 0.034
0.008 0.016 0.004 0.006 0.002 0 0.01 0.004 0.004 0.012
0.018 0.02 0.026 0.018 0.006 0.022 0.048 0.03 0.03 0.02
0.042 0.044 0.036 0.03 0.046 0.05 0.004 0.046 0.022 0.016
0.126 0.252 0.104 0.298 0.406 0.224 0.218 0.22 0.348 0.23
0.062 0.04 0.042 0.06 0.042 0.054 0.08 0.076 0.078 0.052
0.104 0.144 0.05 0.11 0.084 0.114 0.068 0.036 0.096 0.108
0.376 0.226 0.306 0.29 0.294 0.308 0.32 0.188 0.312 0.272
0.288 0.278 0.262 0.27 0.306 0.344 0.238 0.272 0.12 0.308
0.126 0.088 0.088 0.14 0.146 0.116 0.078 0.096 0.138 0.202
0.058 0.112 0.07 0.1 0.096 0.066 0.066 0.104 0.064 0.13
0.34 0.328 0.328 0.304 0.31 0.13 0.3 0.29 0.23 0.32
0.884 0.844 0.858 0.848 0.806 0.816 0.806 0.764 0.874 0.782
0.066 0.082 0.154 0.126 0.264 0.172 0.176 0.21 0.204 0.13
0.046 0.01 0.01 0.022 0.034 0.042 0.04 0.062 0.03 0.044
0.83 0.802 0.848 0.866 0.884 0.86 0.896 0.894 0.85 0.914
0.016 0.012 0.026 0.008 0.01 0.006 0.024 0.006 0.01 0.012
0.56 0.308 0.408 0.45 0.354 0.458 0.446 0.456 0.454 0.414
0.764 0.812 0.728 0.74 0.87 0.756 0.716 0.69 0.716 0.714
0.398 0.428 0.292 0.292 0.264 0.312 0.204 0.284 0.39 0.298
0.358 0.356 0.328 0.668 0.376 0.334 0.358 0.478 0.306 0.226
0.152 0.182 0.158 0.168 0.146 0.242 0.172 0.414 0.14 0.132
0.06 0.112 0.088 0.07 0.084 0.088 0.054 0.158 0.05 0.088
0.018 0.028 0.014 0.004 0.01 0.04 0.024 0.008 0.056 0.056
0.022 0.034 0.012 0.006 0.014 0.024 0.022 0.008 0.038 0.05
0.094 0.116 0.188 0.066 0.068 0.162 0.138 0.186 0.124 0.152
0.012 0.01 0.022 0.012 0.02 0.014 0.02 0.016 0.034 0.006
0.648 0.414 0.44 0.496 0.714 0.84 0.516 0.658 0.644 0.47
0.034 0.078 0.03 0.078 0.036 0.036 0.034 0.058 0.038 0.03
0.046 0.108 0.018 0.084 0.034 0.068 0.032 0.084 0.076 0.088
0.09 0.06 0.098 0.078 0.092 0.08 0.116 0.06 0.062 0.08
0.168 0.224 0.154 0.124 0.122 0.128 0.158 0.16 0.284 0.122
0.172 0.198 0.158 0.114 0.106 0.114 0.136 0.13 0.276 0.138
0.406 0.584 0.456 0.546 0.446 0.474 0.422 0.5 0.582 0.506
0.206 0.236 0.276 0.262 0.2 0.238 0.188 0.146 0.222 0.218
0.142 0.092 0.156 0.158 0.114 0.12 0.138 0.07 0.162 0.062
0.068 0.052 0.048 0.068 0.014 0.068 0.042 0.038 0.072 0.028
0.06 0.104 0.106 0.092 0.12 0.158 0.108 0.082 0.092 0.1
0.25 0.124 0.204 0.198 0.11 0.194 0.262 0.272 0.12 0.176
0.414 0.292 0.344 0.258 0.28 0.306 0.276 0.188 0.22 0.368
0.428 0.39 0.396 0.262 0.272 0.352 0.378 0.214 0.298 0.414
0.13 0.09 0.114 0.092 0.076 0.082 0.09 0.076 0.088 0.044
0.026 0.028 0.026 0.014 0.032 0.006 0.022 0.03 0.016 0.014
0.522 0.274 0.382 0.508 0.43 0.402 0.51 0.414 0.444 0.526
0.534 0.364 0.37 0.492 0.446 0.394 0.522 0.448 0.472 0.556
0.182 0.172 0.178 0.162 0.21 0.158 0.186 0.232 0.258 0.166
0.256 0.16 0.176 0.162 0.238 0.17 0.22 0.226 0.176 0.194
0.058 0.042 0.034 0.054 0.074 0.02 0.136 0.056 0.08 0.034
