"V1" "V2" "V3" "V4" "V5"
"1" 0.214 0.27 0.208 0.218 0.284
"2" 0.218 0.282 0.308 0.316 0.214
"3" 0.052 0.084 0.062 0.03 0.082
"4" 0.024 0.04 0.04 0.05 0.108
"5" 0.068 0.082 0.03 0.042 0.074
"6" 0.258 0.206 0.202 0.192 0.188
"7" 0.298 0.268 0.218 0.228 0.22
"8" 0.244 0.184 0.206 0.176 0.176
"9" 0.254 0.284 0.216 0.248 0.276
"10" 0.262 0.208 0.194 0.164 0.184
"11" 0.268 0.178 0.152 0.186 0.078
"12" 0.28 0.234 0.224 0.29 0.152
"13" 0.258 0.276 0.214 0.304 0.102
"14" 0.22 0.158 0.132 0.23 0.082
"15" 0.16 0.194 0.168 0.322 0.078
"16" 0.514 0.438 0.468 0.55 0.564
"17" 0.108 0.098 0.214 0.472 0.192
"18" 0.122 0.096 0.096 0.118 0.096
"19" 0.154 0.18 0.224 0.304 0.268
"20" 0.062 0.078 0.066 0.06 0.104
"21" 0.172 0.19 0.204 0.25 0.216
"22" 0.248 0.266 0.178 0.26 0.146
"23" 0.214 0.302 0.194 0.31 0.296
"24" 0.368 0.292 0.278 0.388 0.3
"25" 0.262 0.206 0.19 0.314 0.182
"26" 0.368 0.258 0.236 0.356 0.248
"27" 0.412 0.278 0.282 0.402 0.292
"28" 0.38 0.332 0.362 0.402 0.2
"29" 0.47 0.404 0.446 0.476 0.364
"30" 0.546 0.42 0.39 0.474 0.378
"31" 0.486 0.41 0.432 0.476 0.326
"32" 0.516 0.482 0.386 0.44 0.358
"33" 0.12 0.142 0.156 0.206 0.144
"34" 0.186 0.126 0.152 0.114 0.124
"35" 0.106 0.114 0.144 0.106 0.106
"36" 0.11 0.156 0.152 0.14 0.154
"37" 0.726 0.676 0.694 0.64 0.64
"38" 0.468 0.564 0.48 0.518 0.54
"39" 0.604 0.6 0.588 0.56 0.604
"40" 0.618 0.604 0.612 0.56 0.63
"41" 0.484 0.51 0.574 0.56 0.5
"42" 0.284 0.266 0.212 0.284 0.3
"43" 0.098 0.054 0.03 0.136 0.136
"44" 0.214 0.246 0.198 0.288 0.28
"45" 0.244 0.208 0.208 0.228 0.238
"46" 0.124 0.044 0.06 0.06 0.172
"47" 0.192 0.228 0.208 0.286 0.24
"48" 0.448 0.498 0.54 0.624 0.576
"49" 0.028 0.046 0.056 0.056 0.044
"50" 0.612 0.492 0.642 0.57 0.552
"51" 0.428 0.358 0.492 0.464 0.368
"52" 0.434 0.35 0.486 0.476 0.45
"53" 0.286 0.176 0.192 0.23 0.244
"54" 0.344 0.302 0.302 0.282 0.218
"55" 0.428 0.316 0.316 0.288 0.27
"56" 0.336 0.266 0.304 0.266 0.246
"57" 0.33 0.26 0.302 0.262 0.222
"58" 0.178 0.106 0.124 0.214 0.062
"59" 0.332 0.276 0.354 0.328 0.476
"60" 0.306 0.26 0.342 0.288 0.428
"61" 0.284 0.194 0.292 0.354 0.396
"62" 0.388 0.25 0.314 0.406 0.514
"63" 0.61 0.516 0.552 0.71 0.634
"64" 0.468 0.44 0.452 0.554 0.46
"65" 0.404 0.346 0.462 0.536 0.39
"66" 0.212 0.178 0.244 0.234 0.126
"67" 0.5 0.418 0.492 0.554 0.448
"68" 0.082 0.182 0.096 0.136 0.074
"69" 0.128 0.208 0.098 0.174 0.084
"70" 0.228 0.18 0.202 0.234 0.328
"71" 0.202 0.232 0.154 0.27 0.298
"72" 0.248 0.282 0.188 0.36 0.4
"73" 0.34 0.292 0.234 0.422 0.338
"74" 0.368 0.332 0.368 0.34 0.564
"75" 0.404 0.368 0.342 0.372 0.662
"76" 0.452 0.376 0.614 0.466 0.596
"77" 0.434 0.382 0.538 0.488 0.604
"78" 0.454 0.4 0.542 0.526 0.58
"79" 0.174 0.218 0.172 0.296 0.246
"80" 0.214 0.308 0.24 0.24 0.226
"81" 0.094 0.066 0.12 0.156 0.088
