"V1" "V2" "V3" "V4" "V5"
"1" 0.25 0.298 0.236 0.228 0.238
"2" 0.308 0.308 0.278 0.308 0.254
"3" 0.056 0.048 0.048 0.15 0.054
"4" 0.056 0.048 0.048 0.15 0.054
"5" 0.056 0.048 0.048 0.15 0.054
"6" 0.292 0.216 0.17 0.192 0.18
"7" 0.292 0.216 0.17 0.192 0.18
"8" 0.292 0.216 0.17 0.192 0.18
"9" 0.292 0.216 0.17 0.192 0.18
"10" 0.292 0.216 0.17 0.192 0.18
"11" 0.262 0.302 0.264 0.32 0.16
"12" 0.262 0.302 0.264 0.32 0.16
"13" 0.262 0.302 0.264 0.32 0.16
"14" 0.262 0.302 0.264 0.32 0.16
"15" 0.262 0.302 0.264 0.32 0.16
"16" 0.336 0.262 0.344 0.34 0.354
"17" 0.172 0.102 0.168 0.19 0.124
"18" 0.116 0.078 0.116 0.116 0.122
"19" 0.116 0.078 0.116 0.116 0.122
"20" 0.116 0.078 0.116 0.116 0.122
"21" 0.052 0.112 0.076 0.106 0.1
"22" 0.16 0.212 0.096 0.236 0.18
"23" 0.336 0.382 0.316 0.326 0.386
"24" 0.268 0.236 0.226 0.288 0.252
"25" 0.268 0.236 0.226 0.288 0.252
"26" 0.268 0.236 0.226 0.288 0.252
"27" 0.428 0.342 0.388 0.44 0.442
"28" 0.284 0.384 0.38 0.448 0.326
"29" 0.284 0.384 0.38 0.448 0.326
"30" 0.284 0.384 0.38 0.448 0.326
"31" 0.284 0.384 0.38 0.448 0.326
"32" 0.284 0.384 0.38 0.448 0.326
"33" 0.042 0.068 0.08 0.092 0.294
"34" 0.136 0.132 0.066 0.172 0.106
"35" 0.136 0.132 0.066 0.172 0.106
"36" 0.136 0.132 0.066 0.172 0.106
"37" 0.282 0.528 0.258 0.18 0.284
"38" 0.416 0.51 0.314 0.436 0.408
"39" 0.416 0.51 0.314 0.436 0.408
"40" 0.416 0.51 0.314 0.436 0.408
"41" 0.282 0.528 0.258 0.18 0.284
"42" 0.034 0.1 0.078 0.114 0.11
"43" 0.034 0.1 0.078 0.114 0.11
"44" 0.034 0.1 0.078 0.114 0.11
"45" 0.034 0.1 0.078 0.114 0.11
"46" 0.034 0.1 0.078 0.114 0.11
"47" 0.26 0.348 0.184 0.406 0.312
"48" 0.26 0.348 0.184 0.406 0.312
"49" 0.076 0.138 0.102 0.098 0.08
"50" 0.432 0.38 0.47 0.484 0.42
"51" 0.432 0.38 0.47 0.484 0.42
"52" 0.432 0.38 0.47 0.484 0.42
"53" 0.232 0.21 0.212 0.264 0.264
"54" 0.37 0.33 0.296 0.336 0.212
"55" 0.37 0.33 0.296 0.336 0.212
"56" 0.37 0.33 0.296 0.336 0.212
"57" 0.37 0.33 0.296 0.336 0.212
"58" 0.408 0.41 0.384 0.48 0.118
"59" 0.232 0.244 0.224 0.214 0.238
"60" 0.176 0.154 0.16 0.146 0.176
