"V1" "V2" "V3" "V4" "V5"
"1" 0.424 0.568 0.448 0.522 0.514
"2" 0.444 0.556 0.49 0.504 0.456
"3" 0.18 0.134 0.218 0.236 0.146
"4" 0.266 0.238 0.33 0.338 0.284
"5" 0.072 0.148 0.2 0.114 0.14
"6" 0.254 0.16 0.262 0.168 0.232
"7" 0.25 0.22 0.178 0.178 0.212
"8" 0.224 0.206 0.158 0.168 0.178
"9" 0.35 0.278 0.32 0.262 0.352
"10" 0.232 0.22 0.202 0.188 0.214
"11" 0.26 0.314 0.282 0.312 0.25
"12" 0.452 0.49 0.382 0.432 0.488
"13" 0.482 0.562 0.434 0.53 0.528
"14" 0.272 0.252 0.278 0.29 0.35
"15" 0.202 0.194 0.224 0.162 0.15
"16" 0.444 0.422 0.556 0.446 0.482
"17" 0.25 0.216 0.3 0.366 0.224
"18" 0.158 0.184 0.162 0.174 0.212
"19" 0.338 0.428 0.522 0.424 0.36
"20" 0.32 0.364 0.386 0.316 0.236
"21" 0.384 0.42 0.302 0.39 0.39
"22" 0.276 0.29 0.198 0.264 0.302
"23" 0.278 0.294 0.332 0.406 0.326
"24" 0.246 0.214 0.2 0.268 0.192
"25" 0.506 0.502 0.548 0.476 0.474
"26" 0.434 0.382 0.42 0.472 0.342
"27" 0.518 0.42 0.476 0.382 0.414
"28" 0.574 0.512 0.452 0.51 0.414
"29" 0.498 0.55 0.538 0.562 0.49
"30" 0.426 0.368 0.454 0.434 0.37
"31" 0.47 0.36 0.348 0.336 0.196
"32" 0.638 0.562 0.51 0.604 0.516
"33" 0.238 0.458 0.356 0.45 0.28
"34" 0.344 0.322 0.294 0.21 0.374
"35" 0.394 0.396 0.362 0.358 0.366
"36" 0.306 0.408 0.312 0.294 0.314
"37" 0.464 0.424 0.396 0.354 0.458
"38" 0.406 0.466 0.382 0.368 0.414
"39" 0.382 0.396 0.406 0.344 0.43
"40" 0.424 0.514 0.388 0.53 0.452
"41" 0.484 0.448 0.612 0.454 0.494
"42" 0.152 0.258 0.26 0.288 0.182
"43" 0.224 0.35 0.286 0.25 0.314
"44" 0.298 0.386 0.318 0.344 0.312
"45" 0.364 0.226 0.384 0.384 0.398
"46" 0.184 0.162 0.198 0.166 0.24
"47" 0.266 0.41 0.326 0.308 0.34
"48" 0.46 0.456 0.362 0.436 0.418
"49" 0.062 0.026 0.04 0.072 0.214
"50" 0.256 0.27 0.25 0.254 0.272
"51" 0.148 0.16 0.17 0.13 0.246
"52" 0.316 0.296 0.27 0.276 0.29
"53" 0.344 0.306 0.248 0.264 0.324
"54" 0.262 0.216 0.294 0.244 0.236
"55" 0.474 0.488 0.438 0.52 0.464
"56" 0.362 0.46 0.502 0.372 0.422
"57" 0.334 0.332 0.394 0.386 0.32
"58" 0.19 0.184 0.164 0.222 0.204
"59" 0.102 0.2 0.074 0.124 0.114
"60" 0.074 0.124 0.06 0.144 0.136
"61" 0.208 0.288 0.15 0.324 0.316
"62" 0.18 0.392 0.148 0.368 0.258
"63" 0.198 0.25 0.244 0.346 0.308
"64" 0.344 0.328 0.358 0.38 0.316
"65" 0.184 0.232 0.28 0.282 0.264
"66" 0.31 0.232 0.21 0.224 0.22
"67" 0.45 0.45 0.22 0.372 0.416
"68" 0.376 0.238 0.388 0.308 0.344
"69" 0.468 0.414 0.466 0.382 0.532
"70" 0.45 0.372 0.38 0.486 0.36
"71" 0.528 0.488 0.54 0.338 0.494
"72" 0.412 0.42 0.374 0.446 0.462
"73" 0.332 0.284 0.328 0.408 0.334
"74" 0.522 0.574 0.44 0.55 0.42
"75" 0.322 0.306 0.244 0.34 0.342
"76" 0.32 0.336 0.458 0.44 0.434
"77" 0.446 0.432 0.384 0.402 0.346
"78" 0.354 0.374 0.34 0.342 0.318
"79" 0.288 0.272 0.268 0.352 0.254
"80" 0.394 0.316 0.352 0.36 0.254
"81" 0.22 0.228 0.308 0.41 0.374
"82" 0.278 0.238 0.212 0.322 0.33
"83" 0.254 0.308 0.322 0.314 0.322
"84" 0.284 0.268 0.224 0.31 0.2
"85" 0.292 0.126 0.252 0.294 0.16
"86" 0.388 0.306 0.338 0.33 0.306
"87" 0.116 0.092 0.1 0.108 0.114
"88" 0.22 0.184 0.258 0.188 0.25
"89" 0.254 0.242 0.17 0.146 0.212
"90" 0.258 0.224 0.196 0.214 0.296
"91" 0.314 0.322 0.312 0.326 0.344
"92" 0.292 0.274 0.238 0.258 0.326
"93" 0.25 0.204 0.178 0.184 0.282
"94" 0.366 0.376 0.346 0.432 0.426
"95" 0.432 0.472 0.51 0.59 0.498
"96" 0.176 0.212 0.178 0.186 0.202
"97" 0.26 0.394 0.308 0.37 0.328
"98" 0.286 0.39 0.312 0.37 0.31
"99" 0.312 0.406 0.302 0.334 0.372
"100" 0.284 0.368 0.29 0.326 0.362
"101" 0.506 0.382 0.408 0.414 0.35
"102" 0.466 0.348 0.358 0.386 0.34
"103" 0.346 0.454 0.534 0.344 0.41
"104" 0.382 0.374 0.438 0.202 0.314
"105" 0.358 0.33 0.314 0.27 0.27
"106" 0.224 0.284 0.272 0.262 0.386
"107" 0.28 0.248 0.248 0.198 0.334
"108" 0.466 0.376 0.446 0.404 0.468
"109" 0.28 0.328 0.414 0.334 0.312
"110" 0.436 0.326 0.558 0.462 0.422
"111" 0.224 0.326 0.34 0.308 0.304
"112" 0.204 0.202 0.312 0.25 0.234
"113" 0.214 0.204 0.182 0.162 0.18
"114" 0.324 0.254 0.246 0.276 0.386
"115" 0.384 0.396 0.39 0.392 0.352
"116" 0.35 0.43 0.47 0.448 0.392
"117" 0.268 0.282 0.296 0.242 0.33
"118" 0.236 0.208 0.266 0.296 0.222
"119" 0.38 0.266 0.38 0.286 0.324
"120" 0.428 0.304 0.458 0.376 0.334
"121" 0.338 0.28 0.332 0.298 0.252
"122" 0.346 0.26 0.342 0.366 0.242
"123" 0.206 0.176 0.238 0.176 0.2
"124" 0.462 0.29 0.54 0.348 0.434
"125" 0.098 0.1 0.092 0.04 0.116
"126" 0.138 0.342 0.22 0.12 0.224
"127" 0.236 0.262 0.164 0.186 0.18
"128" 0.386 0.474 0.43 0.44 0.47
"129" 0.35 0.378 0.34 0.42 0.39
"130" 0.45 0.42 0.468 0.506 0.552
"131" 0.604 0.394 0.426 0.446 0.548
"132" 0.402 0.38 0.392 0.448 0.382
"133" 0.306 0.38 0.382 0.29 0.352
"134" 0.322 0.36 0.478 0.386 0.43
"135" 0.316 0.214 0.284 0.29 0.336
"136" 0.214 0.184 0.226 0.258 0.292
"137" 0.058 0.076 0.108 0.09 0.178
"138" 0.244 0.244 0.27 0.376 0.344
"139" 0.44 0.352 0.412 0.414 0.382
"140" 0.284 0.33 0.344 0.454 0.272
"141" 0.152 0.16 0.104 0.206 0.166
"142" 0.234 0.202 0.136 0.22 0.256
"143" 0.266 0.332 0.294 0.314 0.336
"144" 0.27 0.284 0.228 0.2 0.274
"145" 0.526 0.506 0.36 0.5 0.586
"146" 0.448 0.45 0.318 0.466 0.458
"147" 0.39 0.492 0.282 0.364 0.384
"148" 0.198 0.258 0.17 0.278 0.242
"149" 0.216 0.152 0.134 0.222 0.166
"150" 0.41 0.368 0.366 0.396 0.438
"151" 0.41 0.382 0.326 0.25 0.298
"152" 0.3 0.354 0.336 0.228 0.252
"153" 0.48 0.444 0.522 0.508 0.482
"154" 0.476 0.322 0.428 0.424 0.4
"155" 0.312 0.326 0.372 0.362 0.318
"156" 0.306 0.292 0.318 0.344 0.418
"157" 0.238 0.282 0.35 0.292 0.344
"158" 0.488 0.486 0.492 0.42 0.488
"159" 0.376 0.438 0.466 0.358 0.356
"160" 0.426 0.506 0.54 0.458 0.478
"161" 0.396 0.422 0.44 0.358 0.448
"162" 0.33 0.372 0.382 0.39 0.366
"163" 0.402 0.35 0.376 0.442 0.35
"164" 0.502 0.388 0.574 0.468 0.46
"165" 0.2 0.204 0.298 0.304 0.22
"166" 0.242 0.284 0.21 0.246 0.182
"167" 0.616 0.642 0.636 0.37 0.632
"168" 0.348 0.368 0.304 0.346 0.408
"169" 0.352 0.306 0.368 0.302 0.304
"170" 0.274 0.31 0.27 0.238 0.276
"171" 0.226 0.188 0.178 0.264 0.242
"172" 0.242 0.286 0.376 0.358 0.368
"173" 0.442 0.378 0.378 0.432 0.372
"174" 0.24 0.232 0.268 0.172 0.232
"175" 0.298 0.284 0.258 0.238 0.206
"176" 0.488 0.476 0.25 0.532 0.448
"177" 0.332 0.202 0.2 0.308 0.252
