"V1" "V2" "V3" "V4" "V5"
"1" 0.676 0.692 0.708 0.722 0.726
"2" 0.612 0.378 0.282 0.492 0.512
"3" 0.252 0.08 0.188 0.252 0.232
"4" 0.064 0.082 0.068 0.068 0.074
"5" 0.348 0.226 0.344 0.228 0.212
"6" 0.134 0.278 0.25 0.25 0.14
"7" 0.022 0.02 0.068 0.082 0.066
"8" 0.05 0.06 0.092 0.1 0.12
"9" 0.194 0.16 0.168 0.236 0.174
"10" 0.044 0.046 0.072 0.03 0.054
"11" 0.136 0.082 0.042 0.04 0.056
"12" 0.358 0.642 0.522 0.602 0.606
"13" 0.106 0.52 0.616 0.61 0.496
"14" 0.062 0.43 0.484 0.534 0.372
"15" 0.108 0.124 0.33 0.4 0.176
"16" 0.886 0.8 0.816 0.858 0.926
"17" 0.528 0.442 0.54 0.204 0.348
"18" 0.566 0.554 0.482 0.774 0.84
"19" 0.546 0.552 0.516 0.636 0.622
"20" 0.278 0.296 0.334 0.392 0.39
"21" 0.06 0.1 0.166 0.174 0.074
"22" 0.028 0.09 0.246 0.236 0.048
"23" 0.67 0.56 0.75 0.792 0.744
"24" 0.324 0.288 0.418 0.638 0.534
"25" 0.484 0.644 0.552 0.662 0.73
"26" 0.326 0.46 0.238 0.358 0.464
"27" 0.238 0.074 0.268 0.276 0.104
"28" 0.744 0.826 0.84 0.858 0.86
"29" 0.522 0.62 0.528 0.602 0.534
"30" 0.954 0.952 0.958 0.954 0.958
"31" 0.918 0.93 0.928 0.93 0.932
"32" 0.868 0.902 0.878 0.86 0.94
"33" 0.132 0.126 0.26 0.15 0.252
"34" 0.182 0.214 0.382 0.116 0.278
"35" 0.242 0.126 0.122 0.476 0.14
"36" 0.08 0.098 0.102 0.098 0.296
"37" 0.554 0.596 0.54 0.508 0.594
"38" 0.036 0.04 0.034 0.082 0.03
"39" 0.012 0.014 0.008 0.026 0.008
"40" 0.558 0.602 0.824 0.912 0.578
"41" 0.008 0.01 0.004 0.03 0.006
"42" 0.312 0.384 0.268 0.418 0.04
"43" 0.242 0.514 0.442 0.488 0.496
"44" 0.06 0.148 0.126 0.144 0.29
"45" 0.196 0.128 0.15 0.202 0.202
"46" 0.236 0.24 0.332 0.228 0.348
"47" 0.362 0.398 0.382 0.426 0.394
"48" 0.602 0.522 0.144 0.724 0.54
"49" 0.098 0.094 0.114 0.132 0.11
"50" 0.032 0.06 0.052 0.058 0.096
"51" 0.088 0.074 0.176 0.15 0.144
"52" 0.084 0.062 0.056 0.056 0.09
"53" 0.092 0.044 0.2 0.132 0.134
"54" 0.412 0.482 0.398 0.53 0.472
"55" 0.704 0.706 0.636 0.55 0.65
"56" 0.412 0.406 0.404 0.324 0.19
"57" 0.398 0.212 0.36 0.284 0.092
"58" 0.47 0.38 0.444 0.394 0.236
"59" 0.296 0.344 0.278 0.284 0.298
"60" 0.286 0.246 0.26 0.318 0.21
"61" 0.29 0.28 0.188 0.266 0.304
"62" 0.19 0.108 0.11 0.186 0.21
"63" 0.3 0.234 0.268 0.41 0.214
"64" 0.604 0.488 0.75 0.838 0.576
"65" 0.918 0.94 0.872 0.942 0.976
"66" 0.864 0.854 0.926 0.958 0.954
"67" 0.944 0.916 0.948 0.944 0.918
"68" 0.118 0.45 0.466 0.438 0.416
"69" 0.036 0.284 0.258 0.208 0.248
"70" 0.084 0.086 0.08 0.158 0.198
"71" 0.36 0.404 0.47 0.614 0.64
"72" 0.15 0.05 0.136 0.15 0.146
"73" 0.266 0.084 0.08 0.354 0.374
"74" 0.866 0.926 0.886 0.91 0.928
"75" 0.906 0.792 0.74 0.802 0.83
"76" 0.07 0.028 0.036 0.044 0.036
"77" 0.42 0.408 0.478 0.478 0.384
"78" 0.816 0.648 0.712 0.748 0.728
"79" 0.004 0.096 0.012 0.006 0.014
