"V1" "V2" "V3" "V4" "V5"
"1" 0.946 0.958 0.942 0.958 0.972
"2" 0.218 0.356 0.302 0.208 0.188
"3" 0.16 0.176 0.19 0.15 0.182
"4" 0.178 0.218 0.23 0.218 0.24
"5" 0.154 0.248 0.134 0.112 0.146
"6" 0.194 0.144 0.254 0.162 0.182
"7" 0.142 0.14 0.23 0.19 0.274
"8" 0.14 0.108 0.046 0.112 0.16
"9" 0.208 0.088 0.088 0.05 0.094
"10" 0.24 0.162 0.178 0.232 0.206
"11" 0.012 0.064 0.042 0.052 0.068
"12" 0.158 0.17 0.116 0.14 0.172
"13" 0.036 0.05 0.02 0.068 0.044
"14" 0.122 0.106 0.072 0.1 0.096
"15" 0.082 0.074 0.034 0.036 0.024
"16" 0.95 0.87 0.962 0.936 0.96
"17" 0.308 0.116 0.256 0.196 0.184
"18" 0.95 0.87 0.962 0.936 0.96
"19" 0.95 0.87 0.962 0.936 0.96
"20" 0.214 0.166 0.322 0.37 0.22
"21" 0.08 0.116 0.08 0.106 0.132
"22" 0.102 0.204 0.12 0.096 0.146
"23" 0.486 0.404 0.532 0.556 0.356
"24" 0.472 0.396 0.436 0.65 0.516
"25" 0.172 0.176 0.204 0.214 0.226
"26" 0.08 0.17 0.118 0.274 0.186
"27" 0.184 0.288 0.182 0.192 0.162
"28" 0.864 0.908 0.834 0.982 0.888
"29" 0.304 0.316 0.524 0.454 0.386
"30" 0.864 0.908 0.834 0.982 0.888
"31" 0.864 0.908 0.834 0.982 0.888
"32" 0.864 0.908 0.834 0.982 0.888
"33" 0.066 0.24 0.16 0.22 0.122
"34" 0.394 0.156 0.318 0.364 0.318
"35" 0.52 0.508 0.642 0.642 0.456
"36" 0.068 0.136 0.052 0.138 0.122
"37" 0.674 0.626 0.612 0.782 0.48
"38" 0.49 0.4 0.5 0.404 0.446
"39" 0.178 0.248 0.296 0.19 0.172
"40" 0.932 0.926 0.898 0.924 0.87
"41" 0.136 0.156 0.114 0.168 0.142
"42" 0.168 0.152 0.126 0.102 0.116
"43" 0.574 0.444 0.398 0.466 0.364
"44" 0.098 0.058 0.048 0.132 0.084
"45" 0.086 0.134 0.058 0.17 0.096
"46" 0.254 0.12 0.16 0.144 0.094
"47" 0.588 0.356 0.532 0.444 0.39
"48" 0.208 0.132 0.332 0.232 0.156
"49" 0.132 0.122 0.166 0.178 0.184
"50" 0.156 0.09 0.292 0.208 0.128
"51" 0.238 0.21 0.134 0.196 0.192
"52" 0.24 0.218 0.382 0.318 0.24
"53" 0.244 0.242 0.2 0.268 0.182
"54" 0.104 0.236 0.242 0.202 0.218
"55" 0.604 0.656 0.65 0.614 0.576
"56" 0.174 0.144 0.166 0.156 0.134
"57" 0.106 0.114 0.098 0.07 0.114
"58" 0.284 0.13 0.202 0.248 0.154
"59" 0.49 0.53 0.132 0.338 0.572
"60" 0.108 0.112 0.142 0.158 0.162
"61" 0.144 0.164 0.078 0.102 0.156
"62" 0.246 0.272 0.228 0.216 0.246
"63" 0.026 0.01 0.016 0.04 0.038
"64" 0.226 0.364 0.208 0.334 0.324
"65" 0.75 0.44 0.658 0.666 0.844
"66" 0.81 0.85 0.834 0.982 0.872
"67" 0.81 0.85 0.834 0.982 0.872
"68" 0.448 0.486 0.398 0.366 0.374
"69" 0.676 0.698 0.606 0.51 0.612
"70" 0.244 0.232 0.254 0.25 0.4
"71" 0.24 0.398 0.262 0.436 0.346
"72" 0.186 0.148 0.158 0.166 0.076
"73" 0.152 0.036 0.176 0.154 0.196
"74" 0.956 0.88 0.908 0.936 0.936
"75" 0.956 0.88 0.908 0.936 0.936
"76" 0.192 0.13 0.136 0.252 0.132
"77" 0.178 0.352 0.316 0.23 0.378
"78" 0.392 0.266 0.208 0.274 0.408
"79" 0.428 0.486 0.548 0.466 0.478
"80" 0.58 0.412 0.594 0.356 0.424
"81" 0.948 0.958 0.776 0.868 0.922
"82" 0.418 0.462 0.43 0.31 0.306
"83" 0.326 0.47 0.508 0.566 0.47
"84" 0.084 0.1 0.094 0.126 0.124
"85" 0.192 0.114 0.4 0.146 0.36
"86" 0.452 0.588 0.626 0.576 0.564
"87" 0.08 0.07 0.064 0.128 0.218
"88" 0.086 0.07 0.08 0.11 0.072
"89" 0.248 0.234 0.346 0.28 0.324
"90" 0.26 0.22 0.378 0.31 0.328
"91" 0.088 0.098 0.156 0.138 0.12
"92" 0.106 0.108 0.152 0.144 0.164
"93" 0.302 0.368 0.266 0.274 0.248
"94" 0.406 0.6 0.418 0.42 0.424
"95" 0.144 0.194 0.092 0.184 0.206
"96" 0.16 0.196 0.102 0.176 0.148
"97" 0.16 0.196 0.102 0.176 0.148
"98" 0.16 0.196 0.102 0.176 0.148
"99" 0.316 0.274 0.136 0.276 0.332
"100" 0.432 0.324 0.358 0.406 0.382
"101" 0.776 0.776 0.612 0.72 0.854
"102" 0.238 0.316 0.11 0.456 0.2
"103" 0.146 0.086 0.156 0.112 0.094
"104" 0.182 0.152 0.134 0.158 0.106
"105" 0.48 0.524 0.374 0.328 0.296
"106" 0.258 0.382 0.226 0.364 0.438
"107" 0.776 0.776 0.812 0.982 0.854
"108" 0.9 0.776 0.812 0.72 0.736
"109" 0.454 0.546 0.486 0.456 0.4
"110" 0.078 0.094 0.106 0.056 0.118
"111" 0.1 0.638 0.558 0.58 0.634
"112" 0.148 0.112 0.15 0.118 0.15
"113" 0.286 0.244 0.252 0.218 0.252
"114" 0.098 0.156 0.082 0.092 0.06
"115" 0.222 0.19 0.126 0.178 0.202
"116" 0.104 0.17 0.096 0.192 0.156
"117" 0.108 0.136 0.102 0.15 0.146
"118" 0.076 0.134 0.084 0.156 0.108
"119" 0.29 0.29 0.504 0.346 0.362
"120" 0.29 0.29 0.504 0.346 0.362
"121" 0.172 0.184 0.174 0.144 0.234
"122" 0.204 0.166 0.214 0.148 0.238
"123" 0.178 0.134 0.108 0.114 0.116
"124" 0.26 0.35 0.262 0.354 0.362
"125" 0.386 0.414 0.384 0.378 0.278
"126" 0.252 0.316 0.228 0.288 0.268
"127" 0.402 0.422 0.364 0.324 0.33
"128" 0.276 0.42 0.456 0.46 0.348
"129" 0.076 0.02 0.02 0.064 0.108
"130" 0.128 0.134 0.086 0.166 0.164
"131" 0.262 0.43 0.366 0.464 0.446
"132" 0.126 0.052 0.042 0.174 0.168
"133" 0.928 0.886 0.83 0.912 0.956
"134" 0.764 0.844 0.65 0.652 0.656
"135" 0.764 0.844 0.65 0.652 0.656
"136" 0.928 0.886 0.83 0.912 0.956
"137" 0.246 0.214 0.254 0.272 0.238
"138" 0.138 0.074 0.128 0.152 0.268
"139" 0.214 0.218 0.198 0.256 0.222
"140" 0.296 0.168 0.248 0.248 0.244
"141" 0.1 0.078 0.094 0.118 0.1
"142" 0.182 0.24 0.336 0.214 0.234
"143" 0.22 0.246 0.294 0.242 0.252
"144" 0.268 0.264 0.342 0.276 0.318
"145" 0.214 0.246 0.266 0.216 0.24
"146" 0.214 0.164 0.278 0.114 0.154
"147" 0.112 0.078 0.188 0.052 0.13
"148" 0.066 0.102 0.15 0.15 0.192
"149" 0.108 0.196 0.136 0.128 0.166
"150" 0.168 0.12 0.328 0.24 0.346
"151" 0.146 0.17 0.11 0.194 0.118
"152" 0.138 0.182 0.174 0.132 0.2
"153" 0.444 0.352 0.528 0.576 0.498
"154" 0.43 0.338 0.416 0.484 0.438
"155" 0.256 0.278 0.28 0.194 0.298
"156" 0.196 0.19 0.164 0.152 0.156
"157" 0.172 0.162 0.148 0.118 0.176
"158" 0.988 0.988 0.972 0.986 0.964
"159" 0.84 0.972 0.858 0.89 0.796
"160" 0.37 0.452 0.31 0.312 0.462
"161" 0.988 0.988 0.972 0.986 0.964
"162" 0.282 0.31 0.178 0.238 0.252
"163" 0.238 0.188 0.274 0.236 0.18
"164" 0.278 0.258 0.284 0.282 0.276
"165" 0.478 0.538 0.476 0.24 0.124
"166" 0.334 0.312 0.354 0.358 0.326
"167" 0.91 0.894 0.88 0.914 0.798
"168" 0.282 0.21 0.262 0.25 0.16
"169" 0.346 0.348 0.356 0.336 0.474
"170" 0.24 0.27 0.266 0.24 0.258
"171" 0.252 0.328 0.388 0.258 0.316
"172" 0.68 0.604 0.552 0.722 0.594
"173" 0.28 0.304 0.292 0.23 0.288
"174" 0.182 0.166 0.214 0.224 0.236
"175" 0.182 0.166 0.214 0.224 0.236
"176" 0.294 0.196 0.262 0.212 0.128
"177" 0.294 0.196 0.262 0.212 0.128
"178" 0.002 0.02 0.028 0.006 0.01
"179" 0.174 0.12 0.172 0.206 0.194
"180" 0.44 0.464 0.492 0.496 0.4
"181" 0.34 0.434 0.438 0.396 0.314
"182" 0.102 0.1 0.116 0.18 0.136
"183" 0.136 0.16 0.118 0.192 0.14
"184" 0.256 0.24 0.372 0.354 0.274
"185" 0.304 0.288 0.228 0.352 0.22
"186" 0.308 0.216 0.262 0.324 0.276
"187" 0.206 0.11 0.208 0.202 0.162
"188" 0.194 0.136 0.164 0.15 0.102
"189" 0.068 0.1 0.076 0.092 0.072
"190" 0.87 0.882 0.958 0.888 0.932
"191" 0.616 0.56 0.55 0.54 0.684
"192" 0.616 0.56 0.55 0.54 0.684
"193" 0.166 0.116 0.174 0.174 0.136
"194" 0.746 0.782 0.628 0.658 0.748
"195" 0.746 0.782 0.628 0.658 0.748
"196" 0.746 0.782 0.628 0.658 0.748
"197" 0.62 0.674 0.618 0.536 0.614
"198" 0.93 0.986 0.868 0.942 0.928
"199" 0.01 0.06 0.158 0.09 0.072
"200" 0.042 0.052 0.044 0.17 0.088
"201" 0.012 0.028 0.016 0.028 0.024
"202" 0.184 0.154 0.138 0.126 0.088
"203" 0.434 0.218 0.416 0.366 0.218
"204" 0.312 0.234 0.334 0.216 0.248
"205" 0.234 0.174 0.186 0.184 0.148
"206" 0.246 0.236 0.254 0.28 0.266
"207" 0.184 0.126 0.078 0.15 0.224
"208" 0.538 0.486 0.356 0.516 0.586
"209" 0.478 0.332 0.192 0.388 0.424
"210" 0.192 0.25 0.214 0.222 0.32
"211" 0.178 0.208 0.164 0.156 0.18
"212" 0.178 0.204 0.178 0.078 0.152
"213" 0.388 0.46 0.558 0.4 0.37
"214" 0.05 0.048 0.07 0.094 0.046
"215" 0.276 0.298 0.186 0.238 0.192
"216" 0.116 0.132 0.15 0.128 0.14
"217" 0.242 0.262 0.198 0.206 0.14
"218" 0.138 0.194 0.2 0.182 0.11
"219" 0.09 0.096 0.076 0.104 0.062
"220" 0.156 0.176 0.186 0.198 0.158
"221" 0.47 0.392 0.478 0.53 0.112
"222" 0.938 0.894 0.9 0.876 0.768
"223" 0.168 0.092 0.136 0.216 0.178
"224" 0.224 0.28 0.298 0.368 0.2
"225" 0.67 0.762 0.676 0.824 0.762
"226" 0.202 0.144 0.262 0.164 0.188
"227" 0.472 0.606 0.396 0.536 0.52
"228" 0.416 0.428 0.468 0.482 0.468
"229" 0.348 0.322 0.204 0.314 0.322
"230" 0.196 0.158 0.15 0.164 0.224
"231" 0.23 0.22 0.234 0.22 0.19
"232" 0.276 0.262 0.302 0.28 0.24
"233" 0.146 0.196 0.282 0.264 0.274
"234" 0.188 0.158 0.212 0.188 0.212
"235" 0.112 0.156 0.22 0.206 0.168
"236" 0.134 0.156 0.256 0.218 0.204
