"V1" "V2" "V3" "V4" "V5"
"1" 0.232 0.236 0.048 0.206 0.338
"2" 0.334 0.25 0.138 0.278 0.314
"3" 0.286 0.224 0.17 0.25 0.288
"4" 0.564 0.572 0.264 0.564 0.6
"5" 0.47 0.434 0.272 0.448 0.51
"6" 0.242 0.43 0.444 0.478 0.432
"7" 0.274 0.342 0.36 0.36 0.33
"8" 0.42 0.294 0.332 0.36 0.314
"9" 0.314 0.188 0.214 0.248 0.186
"10" 0.348 0.22 0.222 0.264 0.24
"11" 0.6 0.62 0.656 0.616 0.546
"12" 0.236 0.18 0.242 0.21 0.258
"13" 0.126 0.19 0.282 0.148 0.166
"14" 0.078 0.072 0.062 0.022 0.032
"15" 0.078 0.09 0.058 0.02 0.032
"16" 0.234 0.218 0.242 0.18 0.358
"17" 0.182 0.212 0.16 0.228 0.314
"18" 0.188 0.184 0.216 0.192 0.152
"19" 0.24 0.168 0.264 0.198 0.074
"20" 0.242 0.206 0.156 0.174 0.202
"21" 0.68 0.62 0.606 0.672 0.734
"22" 0.206 0.236 0.252 0.308 0.246
"23" 0.296 0.386 0.366 0.472 0.354
"24" 0.622 0.478 0.692 0.5 0.568
"25" 0.282 0.232 0.322 0.34 0.368
"26" 0.32 0.386 0.314 0.362 0.432
"27" 0.288 0.29 0.304 0.296 0.174
"28" 0.548 0.65 0.416 0.44 0.392
"29" 0.526 0.558 0.32 0.372 0.438
"30" 0.31 0.216 0.186 0.2 0.242
"31" 0.054 0.074 0.058 0.062 0.052
"32" 0.176 0.216 0.134 0.164 0.206
"33" 0.152 0.126 0.212 0.124 0.262
"34" 0.14 0.118 0.16 0.142 0.304
"35" 0.112 0.086 0.156 0.166 0.146
"36" 0.094 0.098 0.12 0.17 0.12
"37" 0.508 0.578 0.686 0.588 0.416
"38" 0.132 0.116 0.104 0.122 0.108
"39" 0.176 0.278 0.112 0.252 0.218
"40" 0.224 0.304 0.152 0.258 0.218
"41" 0.186 0.318 0.226 0.33 0.276
"42" 0.694 0.664 0.554 0.574 0.58
"43" 0.406 0.36 0.38 0.33 0.304
"44" 0.374 0.306 0.472 0.348 0.286
"45" 0.078 0.152 0.156 0.124 0.082
"46" 0.104 0.144 0.122 0.202 0.094
"47" 0.582 0.62 0.194 0.64 0.618
"48" 0.21 0.178 0.23 0.202 0.262
"49" 0.24 0.244 0.292 0.192 0.134
"50" 0.182 0.206 0.126 0.102 0.242
"51" 0.158 0.214 0.2 0.156 0.222
