"V1" "V2" "V3" "V4" "V5"
"1" 0.38 0.404 0.356 0.462 0.408
"2" 0.37 0.446 0.35 0.49 0.386
"3" 0.446 0.348 0.344 0.53 0.458
"4" 0.442 0.36 0.408 0.452 0.478
"5" 0.206 0.316 0.298 0.258 0.35
"6" 0.272 0.302 0.18 0.292 0.298
"7" 0.28 0.28 0.286 0.258 0.29
"8" 0.346 0.196 0.232 0.23 0.27
"9" 0.278 0.268 0.204 0.23 0.306
"10" 0.316 0.254 0.29 0.284 0.326
"11" 0.252 0.178 0.234 0.152 0.3
"12" 0.348 0.446 0.384 0.478 0.462
"13" 0.404 0.408 0.412 0.428 0.386
"14" 0.296 0.194 0.294 0.376 0.26
"15" 0.274 0.26 0.3 0.28 0.25
"16" 0.204 0.23 0.264 0.216 0.292
"17" 0.244 0.21 0.27 0.258 0.16
"18" 0.262 0.288 0.398 0.24 0.244
"19" 0.266 0.298 0.27 0.25 0.256
"20" 0.52 0.54 0.498 0.504 0.416
"21" 0.37 0.422 0.276 0.404 0.412
"22" 0.288 0.19 0.242 0.236 0.282
"23" 0.184 0.176 0.252 0.266 0.308
"24" 0.17 0.132 0.16 0.19 0.116
"25" 0.39 0.444 0.404 0.392 0.432
"26" 0.314 0.33 0.31 0.342 0.34
"27" 0.378 0.35 0.31 0.288 0.288
"28" 0.398 0.392 0.262 0.354 0.218
"29" 0.244 0.334 0.178 0.34 0.33
"30" 0.332 0.396 0.254 0.404 0.4
"31" 0.124 0.23 0.198 0.164 0.188
"32" 0.39 0.368 0.364 0.554 0.452
"33" 0.348 0.254 0.318 0.31 0.288
"34" 0.31 0.31 0.272 0.236 0.4
"35" 0.458 0.4 0.378 0.468 0.456
"36" 0.268 0.304 0.264 0.23 0.248
"37" 0.388 0.334 0.442 0.412 0.416
"38" 0.538 0.554 0.556 0.48 0.512
"39" 0.338 0.378 0.428 0.356 0.408
"40" 0.252 0.214 0.358 0.266 0.23
"41" 0.39 0.478 0.402 0.418 0.446
"42" 0.194 0.238 0.17 0.176 0.152
"43" 0.422 0.45 0.412 0.382 0.386
"44" 0.344 0.404 0.22 0.338 0.232
"45" 0.276 0.25 0.264 0.312 0.352
"46" 0.374 0.404 0.268 0.314 0.394
"47" 0.17 0.268 0.246 0.232 0.232
"48" 0.242 0.278 0.232 0.304 0.214
"49" 0.108 0.096 0.158 0.196 0.17
"50" 0.306 0.278 0.274 0.292 0.284
"51" 0.224 0.192 0.214 0.224 0.214
