"V1" "V2" "V3" "V4" "V5"
"1" 0.68 0.69 0.676 0.768 0.702
"2" 0.304 0.202 0.15 0.204 0.188
"3" 0.124 0.128 0.096 0.138 0.152
"4" 0.084 0.09 0.084 0.102 0.136
"5" 0.422 0.38 0.326 0.206 0.29
"6" 0.106 0.174 0.13 0.128 0.12
"7" 0.114 0.164 0.052 0.182 0.138
"8" 0.056 0.088 0.104 0.13 0.11
"9" 0.3 0.252 0.378 0.418 0.304
"10" 0.134 0.152 0.178 0.166 0.106
"11" 0.14 0.046 0.086 0.052 0.142
"12" 0.276 0.246 0.296 0.204 0.32
"13" 0.058 0.082 0.104 0.068 0.076
"14" 0.15 0.118 0.126 0.108 0.102
"15" 0.194 0.12 0.188 0.198 0.094
"16" 0.802 0.71 0.7 0.65 0.694
"17" 0.516 0.41 0.554 0.418 0.486
"18" 0.41 0.268 0.236 0.314 0.328
"19" 0.392 0.418 0.504 0.504 0.404
"20" 0.168 0.162 0.186 0.156 0.218
"21" 0.1 0.128 0.186 0.212 0.11
"22" 0.108 0.186 0.23 0.226 0.128
"23" 0.6 0.544 0.632 0.558 0.626
"24" 0.158 0.214 0.24 0.172 0.214
"25" 0.148 0.2 0.138 0.172 0.152
"26" 0.056 0.114 0.07 0.108 0.102
"27" 0.074 0.074 0.12 0.128 0.058
"28" 0.798 0.806 0.786 0.8 0.684
"29" 0.47 0.542 0.516 0.636 0.38
"30" 0.912 0.944 0.926 0.896 0.922
"31" 0.866 0.816 0.832 0.846 0.84
"32" 0.874 0.92 0.824 0.82 0.878
"33" 0.218 0.198 0.186 0.206 0.218
"34" 0.138 0.168 0.254 0.078 0.114
"35" 0.4 0.304 0.224 0.622 0.332
"36" 0.08 0.038 0.062 0.048 0.176
"37" 0.612 0.66 0.528 0.534 0.594
"38" 0.238 0.188 0.154 0.202 0.19
"39" 0.108 0.11 0.102 0.084 0.046
"40" 0.546 0.622 0.796 0.672 0.57
"41" 0.128 0.212 0.216 0.302 0.108
"42" 0.096 0.132 0.118 0.06 0.094
"43" 0.128 0.286 0.196 0.29 0.382
"44" 0.082 0.072 0.114 0.146 0.104
"45" 0.048 0.06 0.064 0.054 0.046
"46" 0.18 0.224 0.198 0.148 0.248
"47" 0.454 0.394 0.506 0.444 0.33
"48" 0.248 0.344 0.172 0.27 0.314
"49" 0.088 0.102 0.058 0.12 0.114
"50" 0.114 0.134 0.096 0.16 0.16
"51" 0.092 0.046 0.082 0.132 0.104
"52" 0.178 0.122 0.168 0.126 0.186
"53" 0.266 0.174 0.27 0.22 0.208
"54" 0.278 0.364 0.28 0.372 0.154
"55" 0.774 0.784 0.78 0.798 0.834
"56" 0.322 0.41 0.332 0.31 0.138
"57" 0.202 0.158 0.246 0.166 0.096
"58" 0.54 0.51 0.512 0.538 0.222
"59" 0.534 0.48 0.556 0.56 0.546
"60" 0.54 0.5 0.534 0.58 0.524
"61" 0.414 0.362 0.414 0.418 0.43
"62" 0.302 0.254 0.312 0.328 0.39
"63" 0.388 0.508 0.448 0.572 0.37
"64" 0.432 0.404 0.478 0.56 0.436
"65" 0.882 0.88 0.908 0.884 0.868
"66" 0.516 0.53 0.85 0.768 0.806
