"V1" "V2" "V3" "V4" "V5"
"1" 0.646 0.772 0.77 0.726 0.76
"2" 0.218 0.146 0.182 0.228 0.226
"3" 0.188 0.13 0.174 0.258 0.232
"4" 0.188 0.278 0.206 0.288 0.302
"5" 0.208 0.254 0.232 0.248 0.218
"6" 0.278 0.362 0.434 0.444 0.334
"7" 0.09 0.082 0.046 0.066 0.094
"8" 0.22 0.138 0.156 0.172 0.234
"9" 0.14 0.11 0.108 0.102 0.13
"10" 0.096 0.078 0.044 0.08 0.088
"11" 0.172 0.2 0.196 0.202 0.22
"12" 0.454 0.456 0.444 0.476 0.542
"13" 0.156 0.126 0.186 0.168 0.134
"14" 0.14 0.128 0.156 0.108 0.114
"15" 0.164 0.094 0.164 0.126 0.142
"16" 0.822 0.678 0.716 0.716 0.708
"17" 0.46 0.372 0.49 0.184 0.352
"18" 0.57 0.484 0.446 0.598 0.51
"19" 0.522 0.462 0.484 0.546 0.372
"20" 0.37 0.302 0.256 0.296 0.356
"21" 0.176 0.112 0.184 0.202 0.136
"22" 0.102 0.072 0.156 0.194 0.058
"23" 0.736 0.816 0.752 0.808 0.746
"24" 0.118 0.116 0.324 0.44 0.402
"25" 0.186 0.17 0.132 0.208 0.176
"26" 0.196 0.252 0.154 0.226 0.182
"27" 0.084 0.106 0.094 0.124 0.112
"28" 0.568 0.548 0.574 0.658 0.686
"29" 0.522 0.636 0.564 0.624 0.52
"30" 0.93 0.844 0.854 0.882 0.84
"31" 0.888 0.752 0.76 0.86 0.674
"32" 0.838 0.802 0.81 0.8 0.79
"33" 0.254 0.106 0.212 0.114 0.386
"34" 0.364 0.342 0.362 0.148 0.444
"35" 0.536 0.366 0.284 0.496 0.416
"36" 0.08 0.15 0.148 0.108 0.236
"37" 0.45 0.41 0.542 0.416 0.51
"38" 0.324 0.284 0.224 0.326 0.33
"39" 0.19 0.184 0.162 0.198 0.142
"40" 0.74 0.736 0.638 0.666 0.776
"41" 0.3 0.288 0.194 0.242 0.234
"42" 0.482 0.466 0.516 0.438 0.308
"43" 0.136 0.234 0.15 0.138 0.206
"44" 0.18 0.222 0.27 0.22 0.238
"45" 0.174 0.174 0.208 0.198 0.158
"46" 0.258 0.226 0.278 0.252 0.148
"47" 0.7 0.75 0.734 0.718 0.636
"48" 0.248 0.3 0.15 0.292 0.214
"49" 0.202 0.278 0.278 0.268 0.308
"50" 0.182 0.088 0.164 0.112 0.116
"51" 0.228 0.124 0.234 0.284 0.242
"52" 0.228 0.176 0.188 0.234 0.208
"53" 0.09 0.236 0.124 0.24 0.128
"54" 0.334 0.384 0.388 0.438 0.286
"55" 0.638 0.628 0.564 0.492 0.488
"56" 0.216 0.146 0.296 0.368 0.136
"57" 0.4 0.124 0.328 0.356 0.152
"58" 0.304 0.214 0.316 0.354 0.116
"59" 0.2 0.24 0.19 0.22 0.21
"60" 0.29 0.298 0.218 0.376 0.278
"61" 0.276 0.314 0.272 0.296 0.342
"62" 0.14 0.148 0.122 0.15 0.166
"63" 0.592 0.688 0.594 0.594 0.628
"64" 0.356 0.326 0.432 0.616 0.324
"65" 0.692 0.768 0.806 0.886 0.784
"66" 0.64 0.754 0.788 0.9 0.808
"67" 0.694 0.764 0.828 0.904 0.778
"68" 0.44 0.398 0.546 0.488 0.322
"69" 0.184 0.178 0.132 0.078 0.176
"70" 0.156 0.244 0.282 0.252 0.24
"71" 0.23 0.382 0.53 0.366 0.45
"72" 0.094 0.144 0.094 0.092 0.13
"73" 0.138 0.09 0.032 0.158 0.108
"74" 0.786 0.82 0.71 0.85 0.866
"75" 0.748 0.782 0.806 0.812 0.92
"76" 0.172 0.132 0.164 0.176 0.084
"77" 0.336 0.494 0.436 0.422 0.496
"78" 0.422 0.39 0.44 0.474 0.582
"79" 0.336 0.39 0.244 0.258 0.344
"80" 0.406 0.408 0.522 0.516 0.438
"81" 0.568 0.6 0.63 0.65 0.572
"82" 0.248 0.24 0.084 0.188 0.166
"83" 0.3 0.412 0.294 0.488 0.398
"84" 0.55 0.456 0.396 0.448 0.384
"85" 0.446 0.356 0.482 0.458 0.382
"86" 0.58 0.586 0.422 0.348 0.422
"87" 0.7 0.73 0.482 0.704 0.676
"88" 0.198 0.198 0.192 0.202 0.206
"89" 0.204 0.3 0.29 0.282 0.24
"90" 0.338 0.288 0.36 0.292 0.348
"91" 0.502 0.29 0.446 0.446 0.54
"92" 0.676 0.634 0.634 0.688 0.592
"93" 0.568 0.616 0.596 0.63 0.462
"94" 0.318 0.302 0.236 0.254 0.332
"95" 0.484 0.544 0.384 0.4 0.396
"96" 0.048 0.05 0.062 0.038 0.064
"97" 0.054 0.068 0.034 0.036 0.074
"98" 0.112 0.084 0.06 0.072 0.1
"99" 0.05 0.052 0.032 0.046 0.068
"100" 0.212 0.336 0.238 0.256 0.226
"101" 0.568 0.764 0.768 0.734 0.538
"102" 0.292 0.278 0.3 0.332 0.182
"103" 0.072 0.032 0.028 0.068 0.06
"104" 0.116 0.09 0.084 0.064 0.112
"105" 0.176 0.17 0.122 0.202 0.212
"106" 0.578 0.438 0.396 0.396 0.454
"107" 0.724 0.564 0.516 0.522 0.516
"108" 0.726 0.774 0.816 0.736 0.804
"109" 0.22 0.168 0.176 0.188 0.238
"110" 0.206 0.186 0.224 0.178 0.242
"111" 0.22 0.23 0.27 0.128 0.274
"112" 0.162 0.186 0.226 0.228 0.222
"113" 0.254 0.244 0.182 0.15 0.186
"114" 0.07 0.028 0.046 0.05 0.074
"115" 0.304 0.426 0.378 0.306 0.408
"116" 0.138 0.126 0.172 0.122 0.124
"117" 0.098 0.096 0.124 0.09 0.096
"118" 0.13 0.104 0.12 0.12 0.088
"119" 0.574 0.562 0.57 0.63 0.564
"120" 0.6 0.614 0.624 0.626 0.64
"121" 0.278 0.244 0.216 0.276 0.298
"122" 0.056 0.096 0.032 0.05 0.05
"123" 0.08 0.078 0.052 0.056 0.076
"124" 0.302 0.294 0.264 0.252 0.454
"125" 0.29 0.38 0.324 0.394 0.26
"126" 0.136 0.192 0.224 0.24 0.24
"127" 0.146 0.162 0.21 0.232 0.22
"128" 0.334 0.434 0.458 0.374 0.39
"129" 0.116 0.104 0.124 0.236 0.152
"130" 0.344 0.286 0.252 0.166 0.278
"131" 0.554 0.394 0.312 0.294 0.34
"132" 0.11 0.1 0.086 0.142 0.082
"133" 0.752 0.844 0.702 0.81 0.754
"134" 0.256 0.252 0.488 0.432 0.382
"135" 0.264 0.2 0.326 0.248 0.424
"136" 0.572 0.71 0.614 0.744 0.644
"137" 0.194 0.196 0.176 0.086 0.184
"138" 0.25 0.242 0.342 0.358 0.224
"139" 0.144 0.096 0.082 0.11 0.118
"140" 0.116 0.1 0.116 0.098 0.076
"141" 0.104 0.146 0.05 0.07 0.138
"142" 0.076 0.086 0.052 0.062 0.066
"143" 0.32 0.2 0.338 0.37 0.33
"144" 0.3 0.338 0.318 0.352 0.24
"145" 0.246 0.17 0.254 0.266 0.218
"146" 0.26 0.194 0.214 0.286 0.2
"147" 0.418 0.468 0.424 0.534 0.366
"148" 0.47 0.306 0.432 0.276 0.344
"149" 0.15 0.154 0.112 0.166 0.088
"150" 0.068 0.192 0.086 0.15 0.068
"151" 0.358 0.256 0.168 0.278 0.344
"152" 0.408 0.318 0.176 0.358 0.388
"153" 0.436 0.406 0.328 0.41 0.306
"154" 0.182 0.166 0.156 0.142 0.156
"155" 0.208 0.49 0.308 0.354 0.436
"156" 0.216 0.18 0.21 0.188 0.272
"157" 0.42 0.354 0.446 0.404 0.256
"158" 0.686 0.75 0.844 0.7 0.832
"159" 0.596 0.49 0.484 0.514 0.586
"160" 0.136 0.088 0.198 0.138 0.164
"161" 0.672 0.71 0.73 0.734 0.778
