"V1" "V2" "V3" "V4" "V5"
"1" 0.788 0.868 0.848 0.912 0.888
"2" 0.468 0.376 0.354 0.478 0.492
"3" 0.31 0.174 0.242 0.31 0.214
"4" 0.156 0.272 0.218 0.26 0.29
"5" 0.18 0.186 0.2 0.2 0.102
"6" 0.04 0.098 0.164 0.09 0.056
"7" 0.112 0.108 0.094 0.136 0.146
"8" 0.154 0.074 0.1 0.148 0.124
"9" 0.182 0.166 0.144 0.112 0.146
"10" 0.168 0.166 0.1 0.138 0.136
"11" 0.16 0.118 0.188 0.262 0.152
"12" 0.312 0.416 0.362 0.43 0.392
"13" 0.162 0.128 0.15 0.192 0.128
"14" 0.22 0.146 0.252 0.182 0.156
"15" 0.162 0.142 0.178 0.144 0.108
"16" 0.896 0.914 0.85 0.934 0.966
"17" 0.68 0.64 0.764 0.482 0.726
"18" 0.698 0.678 0.648 0.834 0.824
"19" 0.632 0.616 0.658 0.71 0.674
"20" 0.288 0.318 0.34 0.32 0.344
"21" 0.152 0.124 0.164 0.132 0.156
"22" 0.12 0.126 0.148 0.114 0.128
"23" 0.6 0.55 0.516 0.612 0.596
"24" 0.23 0.23 0.416 0.434 0.428
"25" 0.21 0.23 0.31 0.334 0.398
"26" 0.182 0.19 0.184 0.228 0.17
"27" 0.334 0.274 0.292 0.298 0.216
"28" 0.796 0.808 0.832 0.842 0.862
"29" 0.428 0.346 0.52 0.46 0.458
"30" 0.97 0.966 0.99 0.938 0.976
"31" 0.972 0.968 0.992 0.966 0.972
"32" 0.956 0.958 0.982 0.946 0.966
"33" 0.106 0.068 0.146 0.092 0.126
"34" 0.27 0.13 0.276 0.204 0.262
"35" 0.462 0.324 0.368 0.612 0.36
"36" 0.086 0.13 0.132 0.102 0.172
"37" 0.304 0.222 0.342 0.474 0.308
"38" 0.232 0.196 0.228 0.134 0.182
"39" 0.104 0.246 0.186 0.128 0.118
"40" 0.958 0.968 0.968 0.98 0.966
"41" 0.138 0.182 0.132 0.222 0.136
"42" 0.23 0.292 0.352 0.374 0.262
"43" 0.348 0.272 0.402 0.358 0.242
"44" 0.182 0.252 0.32 0.176 0.24
"45" 0.26 0.286 0.286 0.254 0.306
"46" 0.298 0.162 0.296 0.184 0.216
"47" 0.522 0.514 0.564 0.484 0.366
"48" 0.448 0.374 0.35 0.488 0.4
"49" 0.052 0.048 0.044 0.068 0.058
"50" 0.272 0.198 0.224 0.246 0.312
"51" 0.194 0.202 0.144 0.194 0.208
"52" 0.268 0.238 0.278 0.308 0.278
"53" 0.178 0.18 0.112 0.226 0.196
"54" 0.248 0.266 0.284 0.254 0.252
"55" 0.648 0.604 0.644 0.37 0.598
"56" 0.176 0.126 0.186 0.14 0.14
"57" 0.192 0.096 0.178 0.132 0.108
"58" 0.304 0.116 0.312 0.264 0.134
"59" 0.332 0.316 0.234 0.312 0.35
"60" 0.364 0.34 0.294 0.42 0.294
"61" 0.334 0.328 0.268 0.28 0.302
"62" 0.316 0.264 0.274 0.268 0.252
"63" 0.156 0.122 0.136 0.2 0.162
"64" 0.298 0.21 0.198 0.45 0.248
"65" 0.83 0.664 0.674 0.78 0.876
"66" 0.946 0.966 0.988 0.974 0.98
"67" 0.964 0.966 0.988 0.97 0.968
"68" 0.252 0.226 0.188 0.15 0.232
"69" 0.254 0.236 0.266 0.168 0.238
"70" 0.262 0.256 0.198 0.318 0.306
"71" 0.084 0.338 0.19 0.402 0.334
"72" 0.444 0.318 0.334 0.452 0.142
