"V1" "V2" "V3" "V4" "V5"
"1" 0.608 0.664 0.728 0.738 0.69
"2" 0.596 0.41 0.264 0.428 0.478
"3" 0.22 0.158 0.136 0.258 0.25
"4" 0.038 0.082 0.064 0.096 0.08
"5" 0.348 0.26 0.318 0.212 0.218
"6" 0.118 0.298 0.258 0.254 0.166
"7" 0.028 0.012 0.076 0.098 0.048
"8" 0.054 0.062 0.098 0.096 0.104
"9" 0.216 0.172 0.176 0.25 0.166
"10" 0.034 0.056 0.052 0.03 0.04
"11" 0.118 0.1 0.052 0.05 0.048
"12" 0.34 0.62 0.508 0.602 0.616
"13" 0.076 0.524 0.594 0.618 0.512
"14" 0.046 0.4 0.5 0.544 0.414
"15" 0.12 0.1 0.326 0.334 0.16
"16" 0.9 0.828 0.83 0.848 0.932
"17" 0.524 0.442 0.538 0.166 0.37
"18" 0.582 0.568 0.53 0.802 0.834
"19" 0.532 0.55 0.574 0.656 0.588
"20" 0.258 0.304 0.356 0.426 0.398
"21" 0.076 0.072 0.144 0.168 0.082
"22" 0.056 0.058 0.204 0.174 0.074
"23" 0.662 0.586 0.724 0.81 0.724
"24" 0.302 0.328 0.422 0.648 0.596
"25" 0.514 0.626 0.554 0.676 0.754
"26" 0.326 0.518 0.274 0.342 0.448
"27" 0.22 0.12 0.252 0.288 0.106
"28" 0.764 0.812 0.808 0.848 0.85
"29" 0.532 0.6 0.534 0.598 0.49
"30" 0.958 0.948 0.96 0.942 0.978
"31" 0.918 0.912 0.928 0.928 0.96
"32" 0.862 0.852 0.884 0.814 0.952
"33" 0.144 0.146 0.264 0.132 0.242
"34" 0.184 0.234 0.434 0.11 0.29
"35" 0.286 0.128 0.144 0.516 0.116
"36" 0.09 0.086 0.084 0.122 0.26
"37" 0.55 0.578 0.558 0.542 0.592
"38" 0.036 0.038 0.044 0.07 0.042
"39" 0.012 0.008 0.012 0.016 0.022
"40" 0.538 0.642 0.824 0.922 0.568
"41" 0.014 0.024 0.01 0.014 0.008
"42" 0.306 0.378 0.29 0.412 0.052
"43" 0.242 0.522 0.478 0.534 0.478
"44" 0.094 0.122 0.122 0.128 0.28
"45" 0.19 0.128 0.14 0.234 0.2
"46" 0.26 0.284 0.328 0.312 0.33
"47" 0.35 0.388 0.328 0.384 0.38
"48" 0.604 0.544 0.134 0.742 0.52
"49" 0.12 0.132 0.11 0.112 0.124
"50" 0.05 0.04 0.062 0.05 0.058
"51" 0.092 0.11 0.196 0.16 0.12
"52" 0.074 0.062 0.082 0.086 0.078
"53" 0.08 0.054 0.21 0.114 0.102
