"V1" "V2" "V3" "V4" "V5"
"1" 0.846 0.87 0.908 0.818 0.844
"2" 0.53 0.35 0.33 0.446 0.396
"3" 0.238 0.112 0.138 0.266 0.15
"4" 0.252 0.154 0.224 0.252 0.234
"5" 0.392 0.33 0.42 0.372 0.274
"6" 0.164 0.168 0.118 0.166 0.186
"7" 0.132 0.164 0.108 0.104 0.092
"8" 0.106 0.178 0.15 0.174 0.17
"9" 0.108 0.158 0.12 0.156 0.132
"10" 0.27 0.244 0.22 0.276 0.254
"11" 0.152 0.232 0.244 0.344 0.262
"12" 0.308 0.474 0.346 0.44 0.44
"13" 0.15 0.228 0.234 0.256 0.226
"14" 0.26 0.36 0.34 0.408 0.288
"15" 0.058 0.092 0.11 0.174 0.08
"16" 0.892 0.882 0.836 0.784 0.858
"17" 0.474 0.508 0.626 0.53 0.5
"18" 0.664 0.714 0.72 0.764 0.792
"19" 0.718 0.758 0.806 0.816 0.762
"20" 0.426 0.472 0.438 0.48 0.52
"21" 0.118 0.144 0.102 0.106 0.112
"22" 0.102 0.096 0.134 0.118 0.088
"23" 0.724 0.616 0.702 0.702 0.646
"24" 0.126 0.1 0.096 0.116 0.076
"25" 0.238 0.308 0.17 0.244 0.222
"26" 0.318 0.378 0.226 0.258 0.27
"27" 0.204 0.138 0.212 0.096 0.232
"28" 0.494 0.508 0.596 0.52 0.512
"29" 0.404 0.44 0.478 0.528 0.516
"30" 0.754 0.706 0.72 0.664 0.688
"31" 0.684 0.824 0.808 0.722 0.634
"32" 0.724 0.618 0.754 0.656 0.692
"33" 0.21 0.282 0.35 0.322 0.288
"34" 0.226 0.256 0.348 0.174 0.302
"35" 0.538 0.414 0.398 0.416 0.442
"36" 0.166 0.138 0.154 0.126 0.176
"37" 0.776 0.752 0.862 0.726 0.736
"38" 0.262 0.444 0.338 0.286 0.256
"39" 0.152 0.302 0.222 0.194 0.236
"40" 0.786 0.802 0.902 0.904 0.828
"41" 0.174 0.23 0.23 0.214 0.182
"42" 0.052 0.068 0.03 0.068 0.028
"43" 0.108 0.138 0.052 0.08 0.042
"44" 0.158 0.186 0.184 0.16 0.046
"45" 0.138 0.1 0.164 0.144 0.144
"46" 0.136 0.152 0.148 0.112 0.168
"47" 0.406 0.398 0.42 0.34 0.218
"48" 0.202 0.254 0.222 0.322 0.244
"49" 0.104 0.092 0.128 0.066 0.122
"50" 0.144 0.154 0.112 0.228 0.182
"51" 0.116 0.11 0.078 0.132 0.142
"52" 0.152 0.25 0.068 0.17 0.11
"53" 0.138 0.24 0.14 0.202 0.152
"54" 0.164 0.21 0.254 0.254 0.198
"55" 0.746 0.742 0.732 0.664 0.63
"56" 0.256 0.296 0.292 0.298 0.184
"57" 0.174 0.106 0.198 0.176 0.116
"58" 0.256 0.218 0.318 0.234 0.17
"59" 0.072 0.064 0.052 0.046 0.08
"60" 0.122 0.1 0.06 0.046 0.134
"61" 0.076 0.052 0.024 0.054 0.104
"62" 0.048 0.036 0.026 0.056 0.082
"63" 0.108 0.104 0.11 0.126 0.106
"64" 0.326 0.174 0.282 0.272 0.27
"65" 0.612 0.634 0.576 0.662 0.73
"66" 0.68 0.584 0.628 0.632 0.722
"67" 0.812 0.778 0.762 0.762 0.752
"68" 0.292 0.36 0.326 0.332 0.346
"69" 0.332 0.286 0.324 0.254 0.374
"70" 0.252 0.282 0.282 0.312 0.228
"71" 0.412 0.482 0.59 0.536 0.504
"72" 0.158 0.154 0.22 0.214 0.176
"73" 0.06 0.076 0.046 0.136 0.112
"74" 0.774 0.812 0.776 0.716 0.794
"75" 0.614 0.692 0.65 0.674 0.59
"76" 0.176 0.184 0.136 0.196 0.104
"77" 0.692 0.644 0.51 0.61 0.648
"78" 0.396 0.506 0.434 0.468 0.508
"79" 0.284 0.238 0.226 0.178 0.272
"80" 0.542 0.466 0.59 0.522 0.474
"81" 0.602 0.574 0.592 0.692 0.726
"82" 0.414 0.328 0.194 0.32 0.422
"83" 0.36 0.376 0.288 0.412 0.322
"84" 0.312 0.368 0.336 0.308 0.278
"85" 0.244 0.196 0.254 0.318 0.318
"86" 0.198 0.16 0.218 0.142 0.246
"87" 0.536 0.614 0.222 0.478 0.552
"88" 0.242 0.232 0.218 0.204 0.204
"89" 0.274 0.28 0.326 0.278 0.25
"90" 0.28 0.284 0.296 0.28 0.226
"91" 0.334 0.312 0.406 0.344 0.408
"92" 0.2 0.186 0.202 0.192 0.23
"93" 0.28 0.318 0.312 0.284 0.198
"94" 0.336 0.366 0.21 0.27 0.396
"95" 0.338 0.392 0.388 0.46 0.43
"96" 0.142 0.138 0.126 0.126 0.168
"97" 0.066 0.074 0.062 0.078 0.062
"98" 0.088 0.048 0.052 0.056 0.054
"99" 0.068 0.052 0.066 0.098 0.092
"100" 0.456 0.426 0.408 0.5 0.352
"101" 0.706 0.678 0.676 0.658 0.554
"102" 0.298 0.28 0.238 0.292 0.29
"103" 0.124 0.14 0.164 0.136 0.2
"104" 0.14 0.152 0.152 0.108 0.176
"105" 0.25 0.306 0.278 0.346 0.294
"106" 0.228 0.264 0.342 0.182 0.22
"107" 0.654 0.514 0.382 0.428 0.52
"108" 0.73 0.754 0.758 0.75 0.682
"109" 0.128 0.122 0.154 0.154 0.2
"110" 0.126 0.072 0.098 0.142 0.196
"111" 0.104 0.118 0.124 0.16 0.116
"112" 0.062 0.174 0.35 0.26 0.278
"113" 0.06 0.05 0.064 0.058 0.066
"114" 0.13 0.094 0.076 0.044 0.086
"115" 0.464 0.482 0.36 0.388 0.38
"116" 0.424 0.302 0.31 0.312 0.264
"117" 0.198 0.17 0.164 0.138 0.166
"118" 0.202 0.134 0.152 0.156 0.134
"119" 0.826 0.842 0.934 0.892 0.854
"120" 0.882 0.884 0.948 0.906 0.88
"121" 0.476 0.454 0.458 0.526 0.49
"122" 0.07 0.082 0.046 0.054 0.046
"123" 0.042 0.052 0.034 0.036 0.034
"124" 0.13 0.212 0.194 0.216 0.254
"125" 0.282 0.324 0.188 0.216 0.24
