"V1" "V2" "V3" "V4" "V5"
"1" 0.13 0.082 0.182 0.23 0.01
"2" 0.322 0.256 0.246 0.29 0.344
"3" 0.472 0.274 0.148 0.172 0.406
"4" 0.064 0.026 0.062 0.092 0.072
"5" 0.048 0.086 0.008 0.046 0.034
"6" 0.092 0.074 0.02 0.098 0.08
"7" 0.13 0.122 0.192 0.194 0.052
"8" 0.082 0.168 0.11 0.18 0.158
"9" 0.316 0.334 0.474 0.252 0.424
"10" 0.29 0.538 0.442 0.412 0.09
"11" 0.23 0.284 0.18 0.218 0.042
"12" 0.236 0.196 0.232 0.47 0.21
"13" 0.296 0.318 0.412 0.194 0.43
"14" 0.032 0.14 0.042 0.146 0.05
"15" 0.074 0.154 0.128 0.13 0.098
"16" 0.132 0.258 0.214 0.328 0.244
"17" 0.516 0.45 0.394 0.66 0.418
"18" 0.112 0.13 0.054 0.04 0.066
"19" 0.346 0.398 0.576 0.492 0.348
"20" 0.014 0.088 0.056 0.008 0.07
"21" 0.414 0.458 0.48 0.166 0.472
"22" 0.244 0.04 0.076 0.208 0.224
"23" 0.144 0.182 0.396 0.212 0.198
"24" 0.328 0.516 0.526 0.226 0.402
"25" 0.292 0.52 0.242 0.44 0.302
"26" 0.018 0.102 0.19 0.19 0.224
"27" 0.444 0.436 0.42 0.368 0.384
"28" 0.048 0.076 0.02 0.016 0.072
"29" 0.178 0.326 0.134 0.23 0.034
"30" 0.642 0.734 0.814 0.774 0.746
"31" 0.648 0.712 0.728 0.67 0.672
"32" 0.142 0.304 0.282 0.12 0.308
"33" 0.058 0.086 0.018 0.088 0.028
"34" 0.568 0.1 0.228 0.368 0.516
"35" 0.242 0.248 0.376 0.176 0.256
"36" 0.032 0.11 0.146 0.066 0.104
"37" 0.404 0.272 0.338 0.284 0.176
"38" 0.408 0.33 0.414 0.316 0.242
"39" 0.386 0.19 0.322 0.224 0.25
"40" 0.252 0.086 0.208 0.126 0.17
"41" 0.626 0.722 0.622 0.804 0.672
"42" 0.482 0.39 0.188 0.344 0.388
"43" 0.194 0.156 0.226 0.228 0.138
"44" 0.426 0.414 0.188 0.228 0.122
"45" 0.298 0.33 0.258 0.254 0.124
"46" 0.248 0.374 0.206 0.148 0.262
"47" 0.206 0.428 0.452 0.464 0.332
"48" 0.296 0.3 0.202 0.276 0.29
"49" 0.194 0.35 0.268 0.262 0.148
"50" 0.252 0.338 0.534 0.32 0.334
"51" 0.516 0.666 0.592 0.736 0.746
"52" 0.064 0.282 0.27 0.314 0.282
"53" 0.298 0.164 0.152 0.036 0.14
"54" 0.278 0.354 0.282 0.398 0.18
"55" 0.614 0.44 0.456 0.41 0.242
"56" 0.25 0.73 0.748 0.644 0.386
"57" 0.048 0.388 0.32 0.34 0.252
"58" 0.4 0.198 0.208 0.452 0.01
"59" 0.222 0.198 0.356 0.368 0.328
"60" 0.39 0.408 0.334 0.322 0.38
"61" 0.072 0.07 0.422 0.354 0.15
"62" 0.076 0.24 0.258 0.41 0.474
"63" 0.474 0.42 0.606 0.558 0.432
"64" 0.196 0.112 0.254 0.308 0.226
"65" 0.04 0.08 0.026 0.152 0.078
"66" 0.236 0.328 0.294 0.284 0.274
"67" 0.614 0.102 0.006 0.508 0.13
"68" 0.096 0.258 0.328 0.25 0.25
"69" 0.14 0.19 0.08 0.116 0.04
"70" 0.262 0.046 0.276 0.162 0.23
"71" 0.298 0.62 0.022 0.35 0.548
"72" 0.652 0.782 0.008 0.778 0.772
"73" 0.066 0.15 0.306 0.052 0.092
"74" 0.246 0.336 0.184 0.234 0.39
"75" 0.646 0.78 0.398 0.37 0.632
"76" 0.35 0.428 0.354 0.298 0.43
"77" 0.08 0.122 0.034 0.068 0.032
"78" 0.208 0.254 0.102 0.178 0.092
"79" 0.726 0.752 0.136 0.752 0.71
"80" 0.404 0.428 0.098 0.278 0.352
"81" 0.082 0.078 0.07 0.144 0.058
"82" 0.192 0.062 0.09 0.284 0.066
"83" 0.03 0.04 0.052 0.05 0.068
"84" 0.43 0.412 0.386 0.6 0.314
"85" 0.098 0.652 0.574 0.168 0.708
"86" 0.172 0.26 0.212 0.25 0.284
"87" 0.212 0.42 0.272 0.132 0.152
"88" 0.198 0.478 0.272 0.378 0.466
"89" 0.102 0.048 0.104 0.086 0.056
"90" 0.016 0.036 0.012 0.032 0.014
"91" 0.418 0.438 0.596 0.364 0.306
"92" 0.184 0.034 0.088 0.086 0.154
"93" 0.396 0.514 0.518 0.608 0.692
"94" 0.736 0.604 0.814 0.756 0.622
"95" 0.27 0.848 0.194 0.172 0.21
"96" 0.356 0.556 0.398 0.488 0.436
"97" 0.562 0.144 0.374 0.164 0.45
"98" 0.706 0.586 0.674 0.622 0.106
"99" 0.672 0.35 0.548 0.754 0.67
"100" 0.414 0.404 0.3 0.26 0.328
"101" 0.09 0.152 0.034 0.188 0.12
"102" 0.128 0.132 0.16 0.204 0.16
"103" 0.7 0.726 0.344 0.526 0.398
"104" 0.354 0.532 0.504 0.39 0.48
"105" 0.156 0.456 0.284 0.428 0.106
"106" 0.344 0.194 0.384 0.39 0.352
"107" 0.236 0.178 0.168 0.25 0.028
"108" 0.392 0.36 0.2 0.464 0.318
"109" 0.374 0.454 0.616 0.5 0.384
"110" 0.06 0.174 0.034 0.166 0.356
"111" 0.304 0.274 0.262 0.276 0.204
"112" 0.268 0.412 0.18 0.3 0.27
