"V1" "V2" "V3" "V4" "V5"
"1" 0.226 0.232 0.15 0.248 0.164
"2" 0.286 0.246 0.172 0.316 0.224
"3" 0.24 0.254 0.098 0.174 0.204
"4" 0.146 0.174 0.158 0.22 0.164
"5" 0.164 0.282 0.112 0.218 0.246
"6" 0.106 0.262 0.212 0.192 0.166
"7" 0.182 0.216 0.108 0.374 0.128
"8" 0.134 0.286 0.246 0.244 0.166
"9" 0.278 0.288 0.318 0.256 0.248
"10" 0.348 0.29 0.318 0.302 0.238
"11" 0.49 0.458 0.416 0.48 0.22
"12" 0.264 0.262 0.356 0.352 0.242
"13" 0.37 0.488 0.516 0.436 0.542
"14" 0.064 0.112 0.056 0.092 0.108
"15" 0.132 0.176 0.254 0.202 0.204
"16" 0.168 0.138 0.222 0.158 0.246
"17" 0.508 0.338 0.464 0.736 0.438
"18" 0.396 0.164 0.242 0.282 0.296
"19" 0.376 0.35 0.54 0.504 0.444
"20" 0.08 0.046 0.132 0.062 0.126
"21" 0.518 0.64 0.56 0.49 0.516
"22" 0.524 0.69 0.616 0.486 0.502
"23" 0.218 0.212 0.198 0.16 0.204
"24" 0.194 0.36 0.364 0.274 0.296
"25" 0.552 0.6 0.498 0.532 0.57
"26" 0.122 0.128 0.19 0.17 0.182
"27" 0.164 0.158 0.158 0.186 0.148
"28" 0.114 0.118 0.104 0.1 0.19
"29" 0.198 0.128 0.088 0.178 0.144
"30" 0.532 0.582 0.642 0.732 0.522
"31" 0.38 0.326 0.332 0.29 0.258
"32" 0.354 0.45 0.508 0.504 0.53
"33" 0.498 0.494 0.338 0.43 0.542
"34" 0.298 0.214 0.17 0.186 0.28
"35" 0.176 0.254 0.176 0.182 0.214
"36" 0.128 0.148 0.142 0.102 0.184
"37" 0.472 0.438 0.45 0.464 0.408
"38" 0.408 0.508 0.428 0.426 0.458
"39" 0.46 0.496 0.44 0.448 0.488
"40" 0.448 0.452 0.378 0.368 0.416
"41" 0.338 0.612 0.462 0.602 0.49
"42" 0.452 0.368 0.242 0.39 0.452
"43" 0.248 0.332 0.202 0.332 0.258
"44" 0.146 0.086 0.16 0.174 0.136
"45" 0.426 0.274 0.222 0.198 0.154
"46" 0.106 0.32 0.1 0.08 0.1
"47" 0.252 0.328 0.126 0.214 0.224
"48" 0.326 0.398 0.286 0.378 0.388
"49" 0.314 0.314 0.104 0.264 0.346
"50" 0.314 0.334 0.342 0.348 0.318
"51" 0.214 0.27 0.22 0.252 0.238
"52" 0.26 0.298 0.256 0.308 0.286
"53" 0.288 0.202 0.182 0.188 0.184
