"V1" "V2" "V3" "V4" "V5"
"1" 0.608 0.21 0.33 0.322 0.29
"2" 0.466 0.174 0.254 0.308 0.23
"3" 0.21 0.228 0.186 0.178 0.324
"4" 0.268 0.292 0.15 0.224 0.18
"5" 0.184 0.272 0.144 0.21 0.218
"6" 0.046 0.238 0.254 0.236 0.212
"7" 0.482 0.5 0.466 0.58 0.53
"8" 0.048 0.3 0.304 0.288 0.27
"9" 0.256 0.272 0.35 0.256 0.326
"10" 0.226 0.248 0.276 0.262 0.168
"11" 0.422 0.286 0.416 0.354 0.26
"12" 0.542 0.412 0.542 0.53 0.418
"13" 0.206 0.23 0.302 0.148 0.218
"14" 0.092 0.136 0.088 0.124 0.09
"15" 0.094 0.16 0.172 0.178 0.154
"16" 0.208 0.23 0.338 0.19 0.27
"17" 0.32 0.464 0.372 0.41 0.41
"18" 0.232 0.178 0.18 0.142 0.372
"19" 0.328 0.38 0.55 0.424 0.332
"20" 0.116 0.09 0.146 0.066 0.116
"21" 0.232 0.11 0.178 0.148 0.226
"22" 0.274 0.108 0.214 0.25 0.272
"23" 0.468 0.56 0.43 0.504 0.466
"24" 0.264 0.258 0.444 0.278 0.348
"25" 0.292 0.404 0.394 0.34 0.388
"26" 0.17 0.216 0.216 0.19 0.176
"27" 0.41 0.376 0.496 0.472 0.448
"28" 0.184 0.16 0.15 0.12 0.194
"29" 0.546 0.508 0.44 0.552 0.436
"30" 0.66 0.77 0.776 0.794 0.784
"31" 0.316 0.394 0.406 0.36 0.37
"32" 0.496 0.61 0.684 0.574 0.61
"33" 0.036 0.064 0.168 0.236 0.07
"34" 0.102 0.068 0.094 0.064 0.084
"35" 0.114 0.116 0.23 0.07 0.15
"36" 0.058 0.186 0.292 0.15 0.244
"37" 0.658 0.38 0.726 0.682 0.434
"38" 0.342 0.33 0.426 0.21 0.268
"39" 0.578 0.496 0.586 0.534 0.462
"40" 0.426 0.254 0.436 0.388 0.292
"41" 0.398 0.514 0.422 0.464 0.436
"42" 0.186 0.196 0.2 0.49 0.154
"43" 0.42 0.184 0.372 0.438 0.422
"44" 0.214 0.23 0.316 0.406 0.22
"45" 0.332 0.296 0.246 0.304 0.206
"46" 0.382 0.424 0.47 0.272 0.42
"47" 0.18 0.272 0.274 0.296 0.214
"48" 0.2 0.268 0.198 0.248 0.24
"49" 0.408 0.342 0.178 0.61 0.38
"50" 0.31 0.34 0.31 0.368 0.34
"51" 0.214 0.356 0.302 0.314 0.172
"52" 0.07 0.188 0.146 0.168 0.1
"53" 0.368 0.372 0.374 0.214 0.242
"54" 0.286 0.348 0.39 0.398 0.234
"55" 0.574 0.618 0.562 0.606 0.452
"56" 0.166 0.276 0.27 0.308 0.078
"57" 0.166 0.286 0.218 0.238 0.116
"58" 0.436 0.356 0.24 0.41 0.086
"59" 0.318 0.356 0.478 0.438 0.414
"60" 0.286 0.37 0.466 0.384 0.352
"61" 0.138 0.342 0.544 0.404 0.376
"62" 0.166 0.378 0.528 0.454 0.39
"63" 0.278 0.44 0.538 0.356 0.316
"64" 0.348 0.346 0.422 0.356 0.336
"65" 0.406 0.328 0.408 0.382 0.352
"66" 0.146 0.244 0.226 0.34 0.25
"67" 0.444 0.352 0.188 0.36 0.358
"68" 0.044 0.04 0.096 0.068 0.058
"69" 0.166 0.184 0.104 0.192 0.036
"70" 0.208 0.122 0.23 0.208 0.282
"71" 0.292 0.346 0.098 0.312 0.32
"72" 0.298 0.41 0.354 0.466 0.488
"73" 0.188 0.18 0.284 0.212 0.246
"74" 0.156 0.2 0.106 0.122 0.282
"75" 0.542 0.594 0.56 0.314 0.582
"76" 0.214 0.152 0.256 0.21 0.298
"77" 0.126 0.186 0.098 0.066 0.104
"78" 0.136 0.164 0.102 0.11 0.102
"79" 0.164 0.242 0.208 0.362 0.238
"80" 0.254 0.26 0.052 0.216 0.246
"81" 0.186 0.196 0.26 0.288 0.25
"82" 0.238 0.174 0.252 0.29 0.17
"83" 0.18 0.22 0.234 0.236 0.208
"84" 0.346 0.462 0.34 0.388 0.212
"85" 0.124 0.242 0.118 0.088 0.154
"86" 0.27 0.344 0.306 0.264 0.246
"87" 0.198 0.29 0.206 0.11 0.132
"88" 0.196 0.312 0.24 0.25 0.252
"89" 0.186 0.138 0.18 0.162 0.134
"90" 0.026 0.04 0.042 0.138 0.06
"91" 0.26 0.17 0.292 0.314 0.202
