"V1" "V2" "V3" "V4" "V5"
"1" 0.898 0.896 0.858 0.906 0.9
"2" 0.224 0.348 0.262 0.196 0.254
"3" 0.158 0.168 0.172 0.172 0.198
"4" 0.146 0.164 0.194 0.224 0.218
"5" 0.132 0.282 0.154 0.122 0.116
"6" 0.184 0.164 0.24 0.192 0.22
"7" 0.132 0.138 0.178 0.178 0.224
"8" 0.148 0.1 0.066 0.1 0.142
"9" 0.136 0.086 0.116 0.062 0.072
"10" 0.214 0.182 0.216 0.198 0.196
"11" 0.034 0.052 0.04 0.06 0.034
"12" 0.126 0.11 0.09 0.102 0.114
"13" 0.042 0.058 0.02 0.062 0.02
"14" 0.138 0.11 0.066 0.106 0.078
"15" 0.08 0.064 0.026 0.046 0.06
"16" 0.844 0.66 0.88 0.846 0.866
"17" 0.34 0.128 0.264 0.272 0.232
"18" 0.844 0.66 0.88 0.846 0.866
"19" 0.844 0.66 0.88 0.846 0.866
"20" 0.248 0.17 0.29 0.328 0.284
"21" 0.08 0.096 0.094 0.122 0.124
"22" 0.07 0.182 0.124 0.082 0.098
"23" 0.43 0.364 0.438 0.466 0.354
"24" 0.37 0.292 0.31 0.502 0.42
"25" 0.158 0.152 0.136 0.23 0.178
"26" 0.078 0.138 0.106 0.176 0.15
"27" 0.14 0.228 0.124 0.172 0.136
"28" 0.766 0.768 0.742 0.85 0.754
"29" 0.394 0.38 0.546 0.506 0.426
"30" 0.766 0.768 0.742 0.85 0.754
"31" 0.766 0.768 0.742 0.85 0.754
"32" 0.766 0.768 0.742 0.85 0.754
"33" 0.094 0.182 0.152 0.218 0.142
"34" 0.312 0.124 0.29 0.29 0.348
"35" 0.542 0.402 0.644 0.596 0.444
"36" 0.07 0.102 0.046 0.118 0.122
"37" 0.57 0.62 0.596 0.67 0.474
"38" 0.482 0.408 0.504 0.35 0.388
"39" 0.196 0.22 0.272 0.18 0.156
"40" 0.836 0.854 0.806 0.806 0.764
"41" 0.192 0.226 0.172 0.19 0.148
"42" 0.162 0.116 0.092 0.128 0.074
"43" 0.45 0.312 0.318 0.338 0.216
"44" 0.066 0.048 0.044 0.098 0.084
"45" 0.084 0.11 0.068 0.172 0.098
"46" 0.23 0.158 0.196 0.144 0.114
"47" 0.49 0.296 0.4 0.386 0.332
"48" 0.224 0.16 0.282 0.246 0.196
"49" 0.082 0.084 0.094 0.102 0.078
"50" 0.15 0.092 0.25 0.184 0.15
"51" 0.194 0.126 0.116 0.136 0.156
"52" 0.224 0.168 0.304 0.268 0.224
"53" 0.212 0.158 0.168 0.212 0.166
"54" 0.098 0.204 0.186 0.194 0.204
"55" 0.596 0.612 0.618 0.568 0.518
"56" 0.166 0.14 0.14 0.118 0.132
"57" 0.128 0.094 0.096 0.074 0.066
"58" 0.258 0.104 0.22 0.274 0.128
"59" 0.424 0.416 0.192 0.298 0.5
"60" 0.12 0.094 0.12 0.178 0.134
"61" 0.134 0.144 0.084 0.102 0.14
"62" 0.21 0.21 0.21 0.186 0.21
"63" 0.028 0.026 0.034 0.064 0.026
"64" 0.168 0.266 0.208 0.304 0.21
"65" 0.688 0.406 0.582 0.594 0.686
"66" 0.658 0.71 0.742 0.85 0.71
"67" 0.658 0.71 0.742 0.85 0.71
"68" 0.384 0.408 0.334 0.29 0.412
"69" 0.522 0.572 0.5 0.41 0.614
"70" 0.252 0.252 0.206 0.284 0.292
"71" 0.25 0.334 0.218 0.388 0.27
"72" 0.128 0.082 0.104 0.13 0.078
"73" 0.148 0.052 0.128 0.112 0.166
"74" 0.872 0.772 0.798 0.852 0.824
"75" 0.872 0.772 0.798 0.852 0.824
"76" 0.18 0.134 0.118 0.196 0.124
"77" 0.236 0.326 0.242 0.26 0.276
"78" 0.396 0.264 0.264 0.316 0.384
"79" 0.322 0.416 0.394 0.412 0.356
"80" 0.402 0.404 0.436 0.286 0.35
"81" 0.864 0.882 0.704 0.752 0.744
"82" 0.296 0.318 0.312 0.24 0.25
"83" 0.252 0.376 0.36 0.35 0.354
"84" 0.074 0.08 0.094 0.124 0.118
"85" 0.186 0.216 0.37 0.18 0.34
"86" 0.486 0.644 0.546 0.606 0.582
"87" 0.094 0.086 0.094 0.158 0.174
"88" 0.076 0.064 0.086 0.086 0.076
"89" 0.218 0.226 0.294 0.288 0.236
"90" 0.232 0.244 0.298 0.314 0.25
"91" 0.096 0.132 0.16 0.1 0.126
"92" 0.112 0.14 0.162 0.142 0.14
"93" 0.272 0.294 0.29 0.302 0.22
"94" 0.33 0.488 0.306 0.32 0.374
"95" 0.148 0.236 0.09 0.144 0.182
"96" 0.168 0.142 0.09 0.178 0.114
"97" 0.168 0.142 0.09 0.178 0.114
"98" 0.168 0.142 0.09 0.178 0.114
"99" 0.256 0.224 0.146 0.256 0.24
"100" 0.39 0.4 0.418 0.392 0.36
"101" 0.652 0.752 0.576 0.582 0.814
"102" 0.292 0.416 0.198 0.392 0.188
"103" 0.09 0.092 0.118 0.078 0.114
"104" 0.176 0.14 0.132 0.148 0.112
"105" 0.298 0.374 0.228 0.186 0.294
"106" 0.266 0.382 0.25 0.354 0.416
"107" 0.652 0.752 0.686 0.85 0.814
"108" 0.786 0.752 0.686 0.582 0.666
"109" 0.278 0.358 0.302 0.326 0.274
"110" 0.062 0.092 0.074 0.04 0.112
"111" 0.086 0.442 0.392 0.44 0.45
"112" 0.12 0.082 0.126 0.098 0.178
"113" 0.256 0.24 0.208 0.218 0.268
"114" 0.08 0.118 0.088 0.064 0.09
"115" 0.174 0.184 0.094 0.18 0.164
"116" 0.086 0.124 0.092 0.176 0.144
"117" 0.126 0.128 0.096 0.144 0.122
"118" 0.076 0.088 0.09 0.1 0.112
"119" 0.282 0.244 0.448 0.282 0.358
"120" 0.282 0.244 0.448 0.282 0.358
"121" 0.13 0.132 0.148 0.124 0.18
"122" 0.158 0.154 0.186 0.108 0.156
"123" 0.122 0.116 0.076 0.136 0.138
"124" 0.226 0.29 0.184 0.316 0.29
"125" 0.29 0.36 0.304 0.27 0.292
"126" 0.212 0.286 0.166 0.262 0.23
"127" 0.304 0.352 0.308 0.272 0.272
"128" 0.272 0.348 0.388 0.366 0.318
"129" 0.054 0.022 0.024 0.058 0.122
"130" 0.118 0.14 0.088 0.164 0.17
"131" 0.248 0.318 0.268 0.35 0.322
"132" 0.092 0.07 0.054 0.122 0.158
"133" 0.874 0.818 0.768 0.828 0.85
"134" 0.646 0.684 0.476 0.524 0.538
"135" 0.646 0.684 0.476 0.524 0.538
"136" 0.874 0.818 0.768 0.828 0.85
"137" 0.174 0.192 0.258 0.25 0.18
"138" 0.122 0.078 0.154 0.144 0.294
"139" 0.218 0.194 0.162 0.216 0.23
"140" 0.268 0.126 0.202 0.258 0.288
"141" 0.12 0.076 0.106 0.078 0.082
"142" 0.172 0.184 0.248 0.188 0.226
"143" 0.22 0.192 0.236 0.224 0.252
"144" 0.274 0.22 0.27 0.25 0.302
"145" 0.192 0.196 0.188 0.212 0.206
"146" 0.166 0.152 0.2 0.102 0.156
"147" 0.114 0.084 0.14 0.066 0.104
"148" 0.076 0.09 0.18 0.148 0.174
"149" 0.098 0.164 0.17 0.162 0.158
"150" 0.164 0.132 0.314 0.258 0.282
"151" 0.124 0.136 0.13 0.172 0.114
"152" 0.098 0.172 0.162 0.112 0.142
"153" 0.374 0.356 0.442 0.488 0.436
"154" 0.342 0.314 0.356 0.382 0.324
"155" 0.204 0.214 0.266 0.152 0.258
"156" 0.156 0.15 0.132 0.148 0.13
"157" 0.192 0.232 0.228 0.146 0.22
"158" 0.908 0.94 0.906 0.908 0.906
"159" 0.728 0.908 0.752 0.828 0.776
"160" 0.342 0.41 0.306 0.292 0.378
"161" 0.908 0.94 0.906 0.908 0.906
"162" 0.23 0.266 0.138 0.202 0.182
"163" 0.22 0.216 0.282 0.254 0.214
"164" 0.292 0.272 0.258 0.276 0.256
"165" 0.368 0.404 0.402 0.244 0.136
"166" 0.256 0.298 0.29 0.33 0.248
"167" 0.814 0.846 0.828 0.846 0.798
"168" 0.256 0.202 0.216 0.26 0.164
"169" 0.27 0.292 0.326 0.252 0.458
"170" 0.184 0.208 0.216 0.208 0.222
"171" 0.22 0.254 0.274 0.224 0.32
"172" 0.578 0.61 0.534 0.668 0.556
"173" 0.248 0.258 0.228 0.202 0.258
"174" 0.162 0.154 0.164 0.168 0.178
"175" 0.162 0.154 0.164 0.168 0.178
"176" 0.268 0.23 0.222 0.214 0.216
"177" 0.268 0.23 0.222 0.214 0.216
"178" 0.008 0.03 0.036 0.018 0.026
"179" 0.19 0.11 0.182 0.202 0.174
"180" 0.4 0.406 0.386 0.396 0.35
"181" 0.312 0.312 0.404 0.368 0.282
"182" 0.07 0.09 0.076 0.16 0.144
"183" 0.102 0.14 0.138 0.176 0.162
"184" 0.226 0.25 0.306 0.276 0.218
"185" 0.24 0.2 0.198 0.268 0.226
"186" 0.222 0.196 0.23 0.286 0.218
"187" 0.178 0.108 0.19 0.2 0.186
"188" 0.14 0.108 0.142 0.182 0.122
"189" 0.084 0.08 0.068 0.102 0.086
"190" 0.786 0.818 0.864 0.78 0.83
"191" 0.46 0.41 0.494 0.364 0.508
"192" 0.46 0.41 0.494 0.364 0.508
"193" 0.168 0.12 0.172 0.126 0.146
"194" 0.65 0.668 0.558 0.648 0.628
"195" 0.65 0.668 0.558 0.648 0.628
"196" 0.65 0.668 0.558 0.648 0.628
"197" 0.53 0.552 0.504 0.514 0.516
"198" 0.82 0.894 0.77 0.868 0.852
"199" 0.032 0.06 0.136 0.06 0.09
"200" 0.034 0.06 0.048 0.172 0.08
"201" 0.024 0.03 0.012 0.04 0.034
"202" 0.164 0.128 0.128 0.13 0.092
"203" 0.334 0.22 0.274 0.354 0.226
"204" 0.29 0.222 0.336 0.248 0.252
"205" 0.186 0.146 0.178 0.174 0.13
"206" 0.176 0.206 0.172 0.242 0.19
"207" 0.15 0.096 0.074 0.108 0.162
"208" 0.376 0.404 0.31 0.426 0.58
"209" 0.376 0.23 0.212 0.298 0.412
"210" 0.208 0.19 0.154 0.184 0.31
"211" 0.174 0.174 0.146 0.154 0.18
"212" 0.176 0.168 0.176 0.112 0.138
"213" 0.364 0.472 0.558 0.382 0.366
"214" 0.036 0.038 0.048 0.07 0.036
"215" 0.196 0.23 0.224 0.17 0.14
