"V1" "V2" "V3" "V4" "V5"
"1" 0.77 0.738 0.786 0.828 0.764
"2" 0.144 0.13 0.192 0.324 0.292
"3" 0.066 0.092 0.098 0.128 0.122
"4" 0.062 0.168 0.142 0.172 0.09
"5" 0.032 0.1 0.104 0.074 0.106
"6" 0.33 0.282 0.504 0.36 0.334
"7" 0.092 0.088 0.186 0.114 0.162
"8" 0.236 0.132 0.096 0.172 0.192
"9" 0.202 0.176 0.202 0.168 0.178
"10" 0.254 0.262 0.218 0.246 0.238
"11" 0.208 0.236 0.182 0.272 0.222
"12" 0.208 0.208 0.22 0.168 0.184
"13" 0.122 0.126 0.096 0.176 0.138
"14" 0.24 0.158 0.164 0.194 0.16
"15" 0.12 0.11 0.118 0.104 0.096
"16" 0.774 0.82 0.81 0.754 0.86
"17" 0.334 0.142 0.358 0.288 0.302
"18" 0.784 0.802 0.828 0.766 0.794
"19" 0.788 0.82 0.832 0.786 0.802
"20" 0.156 0.21 0.206 0.14 0.192
"21" 0.124 0.116 0.184 0.156 0.16
"22" 0.142 0.102 0.168 0.14 0.112
"23" 0.8 0.842 0.818 0.83 0.758
"24" 0.206 0.23 0.342 0.276 0.338
"25" 0.248 0.216 0.278 0.296 0.314
"26" 0.062 0.114 0.116 0.096 0.14
"27" 0.098 0.148 0.136 0.09 0.082
"28" 0.818 0.844 0.81 0.76 0.866
"29" 0.654 0.736 0.76 0.674 0.748
"30" 0.894 0.866 0.88 0.876 0.862
"31" 0.858 0.756 0.81 0.806 0.77
"32" 0.84 0.782 0.834 0.798 0.798
"33" 0.206 0.198 0.268 0.158 0.26
"34" 0.418 0.21 0.356 0.33 0.33
"35" 0.546 0.474 0.546 0.59 0.536
"36" 0.122 0.108 0.142 0.192 0.252
"37" 0.686 0.478 0.742 0.778 0.616
"38" 0.404 0.42 0.398 0.316 0.352
"39" 0.228 0.364 0.266 0.134 0.24
"40" 0.692 0.664 0.624 0.634 0.688
"41" 0.306 0.404 0.282 0.316 0.3
"42" 0.284 0.36 0.318 0.328 0.328
"43" 0.398 0.482 0.452 0.51 0.398
"44" 0.202 0.48 0.436 0.234 0.518
"45" 0.174 0.272 0.222 0.234 0.264
"46" 0.41 0.308 0.382 0.298 0.292
"47" 0.608 0.556 0.48 0.572 0.586
"48" 0.296 0.306 0.416 0.298 0.27
"49" 0.1 0.162 0.172 0.14 0.16
"50" 0.272 0.234 0.318 0.286 0.256
"51" 0.34 0.274 0.308 0.31 0.32
"52" 0.312 0.362 0.406 0.408 0.348
"53" 0.326 0.31 0.224 0.338 0.256
"54" 0.164 0.228 0.162 0.17 0.254
"55" 0.664 0.574 0.58 0.486 0.624
"56" 0.136 0.154 0.178 0.152 0.158
"57" 0.138 0.08 0.14 0.03 0.14
"58" 0.32 0.116 0.252 0.272 0.222
"59" 0.28 0.226 0.236 0.23 0.344
"60" 0.184 0.18 0.094 0.184 0.12
"61" 0.15 0.18 0.136 0.156 0.174
"62" 0.204 0.198 0.178 0.206 0.216
"63" 0.318 0.26 0.196 0.258 0.262
"64" 0.216 0.32 0.182 0.324 0.272
"65" 0.536 0.506 0.624 0.698 0.626
"66" 0.59 0.698 0.798 0.864 0.752
"67" 0.616 0.764 0.85 0.9 0.782
"68" 0.422 0.454 0.436 0.316 0.252
"69" 0.344 0.372 0.376 0.312 0.362
"70" 0.458 0.47 0.446 0.512 0.388
"71" 0.21 0.27 0.278 0.376 0.274
"72" 0.152 0.172 0.158 0.152 0.27
"73" 0.178 0.164 0.15 0.186 0.292
"74" 0.786 0.84 0.748 0.838 0.78
"75" 0.766 0.824 0.756 0.836 0.812
"76" 0.232 0.14 0.21 0.194 0.162
"77" 0.43 0.552 0.466 0.464 0.336
"78" 0.284 0.272 0.306 0.268 0.338
"79" 0.432 0.496 0.562 0.604 0.548
"80" 0.366 0.326 0.416 0.35 0.386
"81" 0.662 0.744 0.724 0.74 0.708
"82" 0.11 0.118 0.14 0.158 0.104
"83" 0.154 0.174 0.188 0.178 0.188
"84" 0.16 0.198 0.176 0.238 0.186
"85" 0.282 0.356 0.372 0.274 0.33
"86" 0.512 0.704 0.546 0.574 0.54
"87" 0.112 0.19 0.158 0.17 0.17
"88" 0.096 0.106 0.078 0.098 0.084
"89" 0.434 0.442 0.372 0.446 0.438
"90" 0.324 0.334 0.326 0.376 0.364
"91" 0.102 0.09 0.09 0.142 0.054
"92" 0.214 0.254 0.276 0.292 0.222
"93" 0.548 0.564 0.544 0.494 0.572
"94" 0.578 0.58 0.506 0.542 0.392
"95" 0.142 0.138 0.15 0.188 0.124
"96" 0.22 0.216 0.136 0.18 0.19
"97" 0.196 0.174 0.148 0.15 0.168
"98" 0.194 0.178 0.156 0.154 0.174
"99" 0.218 0.17 0.16 0.176 0.206
"100" 0.268 0.254 0.346 0.468 0.356
"101" 0.718 0.9 0.756 0.818 0.67
"102" 0.548 0.636 0.578 0.72 0.624
"103" 0.192 0.16 0.194 0.104 0.18
"104" 0.098 0.11 0.182 0.17 0.098
