"V1" "V2" "V3" "V4" "V5"
"1" 0.212 0.248 0.046 0.212 0.332
"2" 0.326 0.24 0.16 0.292 0.342
"3" 0.296 0.224 0.182 0.238 0.318
"4" 0.544 0.568 0.338 0.608 0.564
"5" 0.502 0.428 0.242 0.456 0.486
"6" 0.36 0.4 0.604 0.456 0.434
"7" 0.244 0.338 0.344 0.376 0.41
"8" 0.504 0.276 0.326 0.312 0.336
"9" 0.338 0.178 0.222 0.194 0.222
"10" 0.412 0.194 0.2 0.23 0.28
"11" 0.63 0.592 0.712 0.59 0.58
"12" 0.292 0.176 0.308 0.184 0.304
"13" 0.094 0.204 0.2 0.122 0.186
"14" 0.066 0.054 0.058 0.036 0.05
"15" 0.076 0.06 0.046 0.036 0.054
"16" 0.226 0.278 0.272 0.166 0.39
"17" 0.14 0.23 0.206 0.23 0.382
"18" 0.212 0.21 0.276 0.218 0.158
"19" 0.244 0.208 0.36 0.23 0.068
"20" 0.278 0.186 0.208 0.168 0.2
"21" 0.644 0.656 0.642 0.696 0.776
"22" 0.186 0.202 0.294 0.39 0.294
"23" 0.286 0.362 0.322 0.502 0.354
"24" 0.554 0.462 0.678 0.442 0.53
"25" 0.258 0.258 0.35 0.318 0.39
"26" 0.284 0.404 0.304 0.364 0.42
"27" 0.266 0.302 0.266 0.276 0.162
"28" 0.548 0.742 0.478 0.408 0.43
"29" 0.538 0.584 0.426 0.352 0.474
"30" 0.27 0.284 0.236 0.206 0.214
"31" 0.08 0.11 0.066 0.042 0.046
"32" 0.202 0.342 0.222 0.104 0.158
"33" 0.148 0.126 0.19 0.182 0.214
"34" 0.128 0.132 0.174 0.208 0.242
"35" 0.092 0.068 0.124 0.132 0.15
"36" 0.11 0.08 0.098 0.16 0.136
"37" 0.54 0.688 0.72 0.584 0.388
"38" 0.132 0.104 0.126 0.116 0.112
"39" 0.234 0.346 0.086 0.266 0.222
"40" 0.2 0.38 0.162 0.234 0.238
"41" 0.248 0.426 0.174 0.326 0.284
"42" 0.688 0.69 0.558 0.54 0.546
"43" 0.372 0.336 0.414 0.354 0.256
"44" 0.366 0.348 0.468 0.368 0.23
"45" 0.082 0.096 0.168 0.154 0.066
"46" 0.1 0.126 0.112 0.208 0.102
"47" 0.572 0.614 0.24 0.626 0.688
"48" 0.242 0.182 0.204 0.168 0.206
"49" 0.208 0.196 0.332 0.178 0.13
"50" 0.144 0.224 0.154 0.078 0.242
"51" 0.138 0.22 0.246 0.144 0.228
"52" 0.232 0.328 0.346 0.324 0.364
"53" 0.204 0.316 0.146 0.388 0.204
"54" 0.296 0.374 0.24 0.324 0.284
"55" 0.342 0.348 0.25 0.332 0.31
"56" 0.21 0.22 0.186 0.2 0.234
"57" 0.338 0.338 0.388 0.388 0.382
"58" 0.212 0.268 0.23 0.314 0.288
"59" 0.184 0.146 0.19 0.14 0.084
"60" 0.174 0.21 0.13 0.18 0.184
"61" 0.236 0.158 0.126 0.186 0.222
"62" 0.312 0.184 0.22 0.312 0.254
"63" 0.73 0.8 0.828 0.742 0.546
"64" 0.162 0.284 0.346 0.376 0.13
"65" 0.088 0.21 0.148 0.266 0.1
"66" 0.226 0.416 0.168 0.46 0.212
"67" 0.268 0.486 0.256 0.504 0.306
"68" 0.356 0.492 0.536 0.572 0.304
"69" 0.29 0.332 0.184 0.23 0.39
"70" 0.604 0.632 0.57 0.486 0.402
"71" 0.14 0.382 0.39 0.332 0.166
"72" 0.31 0.362 0.522 0.316 0.372
"73" 0.098 0.082 0.114 0.07 0.078
"74" 0.612 0.374 0.52 0.416 0.458
"75" 0.146 0.198 0.256 0.23 0.236
"76" 0.296 0.256 0.402 0.274 0.286
"77" 0.144 0.186 0.214 0.188 0.162
"78" 0.112 0.154 0.22 0.2 0.176
"79" 0.328 0.542 0.594 0.312 0.504
"80" 0.504 0.552 0.318 0.304 0.33
"81" 0.278 0.248 0.208 0.356 0.37
"82" 0.312 0.426 0.248 0.23 0.198
"83" 0.256 0.432 0.394 0.27 0.232
"84" 0.182 0.242 0.292 0.214 0.23
"85" 0.136 0.056 0.072 0.112 0.08
"86" 0.344 0.304 0.368 0.336 0.368
"87" 0.19 0.202 0.206 0.174 0.154
"88" 0.192 0.194 0.16 0.248 0.222
"89" 0.538 0.426 0.374 0.664 0.384
"90" 0.338 0.296 0.244 0.366 0.322
"91" 0.414 0.354 0.364 0.55 0.392
"92" 0.594 0.49 0.676 0.69 0.648
"93" 0.466 0.44 0.496 0.596 0.47
"94" 0.162 0.166 0.062 0.18 0.14
"95" 0.39 0.348 0.226 0.44 0.332
"96" 0.166 0.152 0.128 0.098 0.188
"97" 0.474 0.396 0.304 0.278 0.384
"98" 0.224 0.188 0.126 0.182 0.172
"99" 0.396 0.34 0.244 0.226 0.25
"100" 0.072 0.104 0.104 0.108 0.11
"101" 0.444 0.672 0.514 0.636 0.528
"102" 0.17 0.162 0.252 0.14 0.076
"103" 0.134 0.074 0.074 0.108 0.132
"104" 0.08 0.078 0.1 0.082 0.12
"105" 0.188 0.122 0.13 0.106 0.158
"106" 0.486 0.378 0.28 0.292 0.25
"107" 0.252 0.29 0.254 0.216 0.216
"108" 0.314 0.328 0.314 0.23 0.352
"109" 0.198 0.224 0.204 0.266 0.198
"110" 0.2 0.22 0.224 0.164 0.192
"111" 0.184 0.234 0.272 0.142 0.256
"112" 0.122 0.116 0.13 0.092 0.184
"113" 0.15 0.328 0.132 0.202 0.348
"114" 0.348 0.376 0.296 0.322 0.246
"115" 0.188 0.132 0.3 0.154 0.162
"116" 0.322 0.292 0.272 0.272 0.182
"117" 0.278 0.278 0.256 0.232 0.17
"118" 0.08 0.082 0.064 0.082 0.208
"119" 0.098 0.47 0.324 0.368 0.204
"120" 0.178 0.158 0.248 0.12 0.364
"121" 0.132 0.224 0.1 0.194 0.302
"122" 0.31 0.292 0.284 0.39 0.274
"123" 0.346 0.472 0.424 0.452 0.428
"124" 0.37 0.53 0.364 0.372 0.646
"125" 0.402 0.458 0.34 0.404 0.382
"126" 0.47 0.482 0.4 0.43 0.478
"127" 0.34 0.332 0.234 0.306 0.384
"128" 0.68 0.6 0.666 0.788 0.586
"129" 0.234 0.102 0.23 0.222 0.214
"130" 0.234 0.128 0.2 0.27 0.286
"131" 0.202 0.104 0.062 0.094 0.1
"132" 0.144 0.032 0.04 0.056 0.03
"133" 0.144 0.628 0.198 0.432 0.106
"134" 0.244 0.28 0.2 0.36 0.37
"135" 0.206 0.278 0.052 0.182 0.048
"136" 0.25 0.308 0.088 0.084 0.248
"137" 0.35 0.41 0.316 0.356 0.23
"138" 0.516 0.55 0.576 0.686 0.448
"139" 0.314 0.096 0.34 0.288 0.196
"140" 0.184 0.208 0.184 0.158 0.162
"141" 0.138 0.166 0.116 0.07 0.156
"142" 0.306 0.428 0.364 0.2 0.266
"143" 0.14 0.24 0.226 0.224 0.316
"144" 0.102 0.16 0.072 0.106 0.08
"145" 0.358 0.166 0.218 0.276 0.318
"146" 0.342 0.266 0.21 0.24 0.34
"147" 0.412 0.322 0.2 0.418 0.29
"148" 0.368 0.2 0.3 0.338 0.432
"149" 0.224 0.186 0.144 0.154 0.154
"150" 0.478 0.7 0.386 0.558 0.43
"151" 0.17 0.134 0.182 0.12 0.254
