"V1" "V2" "V3" "V4" "V5"
"1" 0.144 0.096 0.076 0.062 0.108
"2" 0.144 0.096 0.076 0.062 0.108
"3" 0.144 0.096 0.076 0.062 0.108
"4" 0.144 0.096 0.076 0.062 0.108
"5" 0.144 0.096 0.076 0.062 0.108
"6" 0.008 0.05 0.024 0.026 0.01
"7" 0.008 0.05 0.024 0.026 0.01
"8" 0.008 0.05 0.024 0.026 0.01
"9" 0.008 0.05 0.024 0.026 0.01
"10" 0.008 0.05 0.024 0.026 0.01
"11" 0.032 0.004 0.026 0.006 0.008
"12" 0.032 0.004 0.026 0.006 0.008
"13" 0.032 0.004 0.026 0.006 0.008
"14" 0.032 0.004 0.026 0.006 0.008
"15" 0.032 0.004 0.026 0.006 0.008
"16" 0.002 0.012 0.064 0.032 0.028
"17" 0.002 0.012 0.064 0.032 0.028
"18" 0.002 0.012 0.064 0.032 0.028
"19" 0.002 0.012 0.064 0.032 0.028
"20" 0.002 0.012 0.064 0.032 0.028
"21" 0.078 0.012 0.01 0.022 0.174
"22" 0.078 0.012 0.01 0.022 0.174
"23" 0.066 0.028 0.018 0.03 0.068
"24" 0.03 0.004 0.13 0.128 0.064
"25" 0.03 0.004 0.13 0.128 0.064
"26" 0.03 0.004 0.13 0.128 0.064
"27" 0.03 0.004 0.13 0.128 0.064
"28" 0.332 0.026 0.008 0.038 0.018
"29" 0.332 0.026 0.008 0.038 0.018
"30" 0.332 0.026 0.008 0.038 0.018
"31" 0.332 0.026 0.008 0.038 0.018
"32" 0.332 0.026 0.008 0.038 0.018
"33" 0.03 0.072 0.084 0.04 0.04
"34" 0.03 0.072 0.084 0.04 0.04
"35" 0.03 0.072 0.084 0.04 0.04
"36" 0.03 0.072 0.084 0.04 0.04
"37" 0 0.07 0.01 0.048 0.022
"38" 0 0.07 0.01 0.048 0.022
"39" 0 0.07 0.01 0.048 0.022
"40" 0 0.07 0.01 0.048 0.022
"41" 0 0.07 0.01 0.048 0.022
"42" 0.066 0.096 0.046 0.104 0.028
"43" 0.066 0.096 0.046 0.104 0.028
"44" 0.066 0.096 0.046 0.104 0.028
"45" 0.066 0.096 0.046 0.104 0.028
"46" 0.066 0.096 0.046 0.104 0.028
"47" 0.4 0.504 0.17 0.912 0.516
"48" 0.4 0.504 0.17 0.912 0.516
"49" 0.4 0.504 0.17 0.912 0.516
"50" 0.012 0.016 0 0.006 0.014
"51" 0.012 0.016 0 0.006 0.014
"52" 0.012 0.016 0 0.006 0.014
"53" 0.012 0.016 0 0.006 0.014
"54" 0.12 0.136 0.094 0.104 0.182
"55" 0.12 0.136 0.094 0.104 0.182
"56" 0.12 0.136 0.094 0.104 0.182
"57" 0.12 0.136 0.094 0.104 0.182
"58" 0.12 0.136 0.094 0.104 0.182
"59" 0.328 0.002 0.066 0.11 0.1
"60" 0.328 0.002 0.066 0.11 0.1
"61" 0.328 0.002 0.066 0.11 0.1
"62" 0.328 0.002 0.066 0.11 0.1
"63" 0.03 0.026 0.06 0.076 0.134
"64" 0.03 0.026 0.06 0.076 0.134
"65" 0.03 0.026 0.06 0.076 0.134
"66" 0.03 0.026 0.06 0.076 0.134
"67" 0.03 0.026 0.06 0.076 0.134
"68" 0 0.008 0.002 0 0.04
"69" 0 0.008 0.002 0 0.04
"70" 0.032 0.042 0.002 0.026 0.02
"71" 0.032 0.042 0.002 0.026 0.02
"72" 0.032 0.042 0.002 0.026 0.02
"73" 0.032 0.042 0.002 0.026 0.02
"74" 0.004 0.004 0.004 0.004 0.01
"75" 0.004 0.004 0.004 0.004 0.01
"76" 0.004 0.004 0.004 0.004 0.01
"77" 0.004 0.004 0.004 0.004 0.01
