"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0.192 0.254 0.276 0.276 0.31 0.356 0.202 0.246 0.34 0.366
"2" 0.246 0.304 0.258 0.22 0.248 0.252 0.256 0.236 0.322 0.254
"3" 0 0 0 0 0 0 0 0 0 0
"4" 0 0 0 0 0 0 0 0 0 0
"5" 0 0 0 0 0 0 0 0 0 0
"6" 0.102 0.096 0.194 0.102 0.096 0.102 0.178 0.104 0.076 0.116
"7" 0.102 0.096 0.194 0.102 0.096 0.102 0.178 0.104 0.076 0.116
"8" 0.102 0.096 0.194 0.102 0.096 0.102 0.178 0.104 0.076 0.116
"9" 0.102 0.096 0.194 0.102 0.096 0.102 0.178 0.104 0.076 0.116
"10" 0.102 0.096 0.194 0.102 0.096 0.102 0.178 0.104 0.076 0.116
"11" 0.01 0.006 0.018 0.01 0.014 0.006 0.008 0.01 0.014 0.004
"12" 0.01 0.006 0.018 0.01 0.014 0.006 0.008 0.01 0.014 0.004
"13" 0.01 0.006 0.018 0.01 0.014 0.006 0.008 0.01 0.014 0.004
"14" 0.01 0.006 0.018 0.01 0.014 0.006 0.008 0.01 0.014 0.004
"15" 0.01 0.006 0.018 0.01 0.014 0.006 0.008 0.01 0.014 0.004
"16" 0.106 0.166 0.11 0.136 0.132 0.144 0.096 0.112 0.116 0.054
"17" 0.006 0.008 0.014 0.004 0.002 0.052 0.002 0.01 0.024 0.002
"18" 0.004 0.006 0.002 0.004 0 0.008 0.002 0.002 0.008 0.008
"19" 0.004 0.006 0.002 0.004 0 0.008 0.002 0.002 0.008 0.008
"20" 0.004 0.006 0.002 0.004 0 0.008 0.002 0.002 0.008 0.008
"21" 0.026 0.058 0.044 0.06 0.042 0.052 0.05 0.06 0.026 0.064
"22" 0.288 0.162 0.262 0.31 0.286 0.096 0.112 0.262 0.26 0.28
"23" 0.074 0.062 0.058 0.068 0.026 0.098 0.07 0.048 0.088 0.102
"24" 0.238 0.194 0.268 0.25 0.4 0.212 0.266 0.21 0.266 0.282
"25" 0.238 0.194 0.268 0.25 0.4 0.212 0.266 0.21 0.266 0.282
"26" 0.238 0.194 0.268 0.25 0.4 0.212 0.266 0.21 0.266 0.282
"27" 0.46 0.376 0.464 0.476 0.578 0.404 0.436 0.404 0.474 0.49
"28" 0.128 0.174 0.128 0.178 0.166 0.138 0.18 0.124 0.122 0.158
"29" 0.128 0.174 0.128 0.178 0.166 0.138 0.18 0.124 0.122 0.158
"30" 0.128 0.174 0.128 0.178 0.166 0.138 0.18 0.124 0.122 0.158
"31" 0.128 0.174 0.128 0.178 0.166 0.138 0.18 0.124 0.122 0.158
"32" 0.128 0.174 0.128 0.178 0.166 0.138 0.18 0.124 0.122 0.158
"33" 0.052 0.04 0.024 0.008 0.002 0.016 0.036 0.026 0.014 0.038
"34" 0.028 0.02 0.034 0.118 0.05 0.04 0.13 0.06 0.04 0.066
"35" 0.028 0.02 0.034 0.118 0.05 0.04 0.13 0.06 0.04 0.066
"36" 0.028 0.02 0.034 0.118 0.05 0.04 0.13 0.06 0.04 0.066
"37" 0.064 0.048 0.016 0.024 0.036 0.042 0.054 0.024 0.02 0.044
"38" 0.464 0.506 0.572 0.41 0.412 0.356 0.48 0.446 0.34 0.366
"39" 0.464 0.506 0.572 0.41 0.412 0.356 0.48 0.446 0.34 0.366
"40" 0.464 0.506 0.572 0.41 0.412 0.356 0.48 0.446 0.34 0.366
"41" 0.064 0.048 0.016 0.024 0.036 0.042 0.054 0.024 0.02 0.044
"42" 0.004 0.008 0.002 0.016 0.004 0.004 0.002 0.006 0.02 0.002
"43" 0.004 0.008 0.002 0.016 0.004 0.004 0.002 0.006 0.02 0.002
"44" 0.004 0.008 0.002 0.016 0.004 0.004 0.002 0.006 0.02 0.002
"45" 0.004 0.008 0.002 0.016 0.004 0.004 0.002 0.006 0.02 0.002
"46" 0.004 0.008 0.002 0.016 0.004 0.004 0.002 0.006 0.02 0.002
"47" 0.192 0.084 0.154 0.124 0.126 0.228 0.22 0.354 0.118 0.196
"48" 0.192 0.084 0.154 0.124 0.126 0.228 0.22 0.354 0.118 0.196
"49" 0 0 0 0 0 0 0 0 0 0
"50" 0.298 0.322 0.284 0.298 0.276 0.28 0.242 0.164 0.22 0.228
"51" 0.298 0.322 0.284 0.298 0.276 0.28 0.242 0.164 0.22 0.228
"52" 0.298 0.322 0.284 0.298 0.276 0.28 0.242 0.164 0.22 0.228
"53" 0.014 0.134 0.082 0.022 0.038 0.054 0.022 0.042 0.034 0.034
"54" 0.026 0.058 0.166 0.062 0.146 0.06 0.086 0.1 0.12 0.112
"55" 0.026 0.058 0.166 0.062 0.146 0.06 0.086 0.1 0.12 0.112
"56" 0.026 0.058 0.166 0.062 0.146 0.06 0.086 0.1 0.12 0.112
"57" 0.026 0.058 0.166 0.062 0.146 0.06 0.086 0.1 0.12 0.112
"58" 0.004 0 0.078 0.004 0.006 0.024 0.01 0.01 0.004 0.026
"59" 0.02 0.044 0.038 0.012 0.02 0.018 0.024 0.044 0.006 0.056
"60" 0.058 0.066 0.058 0.126 0.052 0.038 0.09 0.108 0.036 0.054
"61" 0.058 0.046 0.062 0.056 0.058 0.034 0.04 0.044 0.044 0.038
"62" 0.026 0.008 0.026 0.028 0.042 0.052 0.012 0.02 0.026 0.064
"63" 0.168 0.168 0.15 0.218 0.204 0.232 0.102 0.116 0.122 0.16
"64" 0.168 0.168 0.15 0.218 0.204 0.232 0.102 0.116 0.122 0.16
"65" 0.168 0.168 0.15 0.218 0.204 0.232 0.102 0.116 0.122 0.16
"66" 0.168 0.168 0.15 0.218 0.204 0.232 0.102 0.116 0.122 0.16
"67" 0.168 0.168 0.15 0.218 0.204 0.232 0.102 0.116 0.122 0.16
"68" 0 0 0 0 0 0 0 0 0 0
"69" 0 0 0 0 0 0 0 0 0 0
"70" 0.052 0.094 0.088 0.102 0.152 0.246 0.182 0.092 0.098 0.086
"71" 0.052 0.094 0.088 0.102 0.152 0.246 0.182 0.092 0.098 0.086
"72" 0.226 0.156 0.19 0.224 0.14 0.36 0.258 0.284 0.248 0.12
"73" 0.424 0.28 0.406 0.446 0.192 0.39 0.454 0.564 0.468 0.192
"74" 0.21 0.132 0.124 0.198 0.14 0.096 0.16 0.236 0.286 0.15
"75" 0.21 0.132 0.124 0.198 0.14 0.096 0.16 0.236 0.286 0.15
"76" 0.576 0.5 0.256 0.494 0.522 0.56 0.58 0.442 0.534 0.498
"77" 0.576 0.5 0.256 0.494 0.522 0.56 0.58 0.442 0.534 0.498
"78" 0.576 0.5 0.256 0.494 0.522 0.56 0.58 0.442 0.534 0.498
"79" 0.06 0.014 0.026 0.03 0.034 0.024 0.046 0.012 0.02 0.058
