"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0.9 0.93 0.91 0.924 0.93 0.94 0.932 0.936 0.942 0.872
"2" 0.366 0.374 0.392 0.474 0.352 0.26 0.336 0.37 0.294 0.352
"3" 0.206 0.254 0.2 0.262 0.2 0.186 0.244 0.206 0.194 0.178
"4" 0.208 0.35 0.166 0.262 0.212 0.234 0.252 0.292 0.258 0.256
"5" 0.172 0.126 0.218 0.142 0.172 0.16 0.18 0.206 0.15 0.182
"6" 0.134 0.164 0.19 0.158 0.1 0.07 0.114 0.122 0.084 0.122
"7" 0.108 0.156 0.206 0.194 0.154 0.15 0.172 0.162 0.176 0.168
"8" 0.12 0.256 0.25 0.188 0.262 0.136 0.196 0.19 0.244 0.232
"9" 0.148 0.198 0.138 0.156 0.15 0.172 0.162 0.214 0.158 0.188
"10" 0.294 0.314 0.3 0.184 0.31 0.3 0.2 0.24 0.188 0.346
"11" 0.152 0.102 0.18 0.204 0.18 0.188 0.162 0.196 0.232 0.154
"12" 0.226 0.224 0.218 0.27 0.264 0.218 0.218 0.154 0.274 0.222
"13" 0.182 0.118 0.182 0.18 0.2 0.148 0.104 0.172 0.184 0.138
"14" 0.37 0.154 0.448 0.438 0.386 0.474 0.148 0.398 0.422 0.426
"15" 0.188 0.212 0.164 0.186 0.184 0.184 0.206 0.13 0.17 0.142
"16" 0.966 0.956 0.916 0.974 0.964 0.978 0.986 0.986 0.964 0.94
"17" 0.254 0.328 0.334 0.288 0.338 0.26 0.288 0.274 0.306 0.248
"18" 0.966 0.956 0.916 0.974 0.964 0.978 0.986 0.986 0.964 0.94
"19" 0.966 0.956 0.916 0.974 0.964 0.978 0.986 0.986 0.964 0.94
"20" 0.114 0.124 0.116 0.09 0.092 0.094 0.098 0.096 0.1 0.108
"21" 0.152 0.09 0.088 0.132 0.102 0.112 0.146 0.124 0.15 0.12
"22" 0.2 0.098 0.16 0.208 0.172 0.102 0.168 0.104 0.16 0.122
"23" 0.586 0.702 0.728 0.616 0.684 0.642 0.472 0.874 0.574 0.616
"24" 0.428 0.516 0.478 0.576 0.474 0.578 0.356 0.462 0.564 0.57
"25" 0.356 0.288 0.36 0.364 0.374 0.398 0.354 0.398 0.438 0.39
"26" 0.186 0.228 0.238 0.246 0.206 0.172 0.156 0.24 0.26 0.222
"27" 0.106 0.276 0.24 0.208 0.214 0.21 0.256 0.304 0.22 0.252
"28" 0.972 0.976 0.968 0.974 0.994 0.968 0.986 0.952 0.968 0.996
"29" 0.798 0.746 0.616 0.874 0.764 0.844 0.774 0.772 0.758 0.86
"30" 0.972 0.976 0.968 0.974 0.994 0.968 0.986 0.952 0.968 0.996
"31" 0.972 0.976 0.968 0.974 0.994 0.968 0.986 0.952 0.968 0.996
"32" 0.972 0.976 0.968 0.974 0.994 0.968 0.986 0.952 0.968 0.996
"33" 0.092 0.14 0.072 0.102 0.084 0.078 0.06 0.07 0.096 0.086
"34" 0.212 0.284 0.316 0.244 0.2 0.34 0.236 0.252 0.264 0.282
