"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0.04 0.256 0.152 0.1 0.08 0.132 0.066 0.126 0.108 0.06
"2" 0.342 0.148 0.338 0.32 0.318 0.296 0.422 0.284 0.348 0.478
"3" 0.262 0.286 0.07 0.164 0.206 0.192 0.266 0.248 0.22 0.26
"4" 0.074 0.03 0.13 0.074 0.082 0.084 0.054 0.088 0.084 0.098
"5" 0.056 0.042 0.04 0.05 0.132 0.038 0.036 0.092 0.034 0.096
"6" 0.152 0.112 0.126 0.13 0.206 0.358 0.024 0.12 0.188 0.152
"7" 0.2 0.172 0.274 0.2 0.124 0.192 0.268 0.274 0.066 0.142
"8" 0.208 0.154 0.214 0.224 0.224 0.302 0.116 0.158 0.188 0.204
"9" 0.312 0.306 0.518 0.434 0.32 0.338 0.302 0.278 0.452 0.416
"10" 0.094 0.148 0.398 0.348 0.332 0.296 0.454 0.448 0.178 0.272
"11" 0.144 0.172 0.08 0.148 0.226 0.066 0.14 0.184 0.15 0.184
"12" 0.314 0.236 0.13 0.416 0.186 0.202 0.172 0.322 0.39 0.378
"13" 0.406 0.464 0.552 0.424 0.47 0.416 0.488 0.034 0.492 0.36
"14" 0.05 0.222 0.06 0.08 0.072 0.118 0.086 0.112 0.094 0.144
"15" 0.054 0.124 0.114 0.152 0.082 0.076 0.144 0.118 0.11 0.122
"16" 0.244 0.212 0.07 0.246 0.196 0.218 0.11 0.186 0.16 0.314
"17" 0.454 0.556 0.512 0.592 0.512 0.418 0.536 0.52 0.55 0.566
"18" 0.092 0.092 0.098 0.076 0.142 0.12 0.186 0.096 0.112 0.136
"19" 0.518 0.436 0.514 0.388 0.442 0.118 0.398 0.424 0.606 0.408
"20" 0.066 0.042 0.058 0.028 0.048 0.05 0.012 0.026 0.052 0.032
"21" 0.248 0.438 0.646 0.472 0.494 0.422 0.458 0.44 0.462 0.436
"22" 0.25 0.256 0.056 0.032 0.07 0.348 0.206 0.274 0.244 0.318
"23" 0.474 0.174 0.206 0.274 0.228 0.262 0.162 0.218 0.48 0.332
"24" 0.512 0.342 0.572 0.474 0.5 0.256 0.44 0.402 0.484 0.464
"25" 0.274 0.258 0.336 0.172 0.306 0.286 0.238 0.276 0.158 0.284
"26" 0.042 0.09 0.056 0.04 0.084 0.094 0.056 0.06 0.028 0.022
"27" 0.446 0.368 0.416 0.39 0.47 0.316 0.47 0.51 0.464 0.456
"28" 0.02 0.036 0.018 0.03 0.054 0.042 0.028 0.03 0.018 0.02
"29" 0.134 0.184 0.35 0.218 0.424 0.17 0.112 0.22 0.198 0.256
"30" 0.43 0.622 0.692 0.684 0.552 0.674 0.78 0.382 0.708 0.682
"31" 0.594 0.644 0.642 0.274 0.546 0.578 0.636 0.502 0.652 0.598
"32" 0.298 0.354 0.144 0.48 0.194 0.344 0.212 0.184 0.202 0.292
"33" 0.128 0.104 0.078 0.112 0.08 0.108 0.072 0.142 0.122 0.102
"34" 0.224 0.26 0.206 0.286 0.516 0.136 0.106 0.258 0.254 0.374
"35" 0.22 0.046 0.15 0.128 0.22 0.146 0.114 0.158 0.148 0.106
"36" 0.09 0.18 0.132 0.186 0.218 0.224 0.162 0.202 0.324 0.092
"37" 0.434 0.246 0.252 0.216 0.168 0.246 0.3 0.202 0.194 0.222
"38" 0.164 0.5 0.394 0.554 0.352 0.2 0.37 0.296 0.432 0.188
"39" 0.57 0.456 0.266 0.21 0.336 0.252 0.454 0.332 0.312 0.374
"40" 0.39 0.234 0.098 0.342 0.144 0.174 0.246 0.186 0.186 0.208
"41" 0.49 0.666 0.602 0.618 0.324 0.576 0.464 0.728 0.562 0.576
"42" 0.556 0.162 0.506 0.268 0.5 0.58 0.51 0.486 0.27 0.346
"43" 0.078 0.198 0.162 0.108 0.206 0.248 0.174 0.184 0.228 0.218
"44" 0.284 0.33 0.232 0.238 0.27 0.268 0.31 0.32 0.46 0.27
"45" 0.102 0.25 0.274 0.168 0.254 0.358 0.32 0.288 0.196 0.26
"46" 0.122 0.226 0.266 0.136 0.12 0.256 0.312 0.276 0.182 0.21
"47" 0.102 0.326 0.074 0.138 0.372 0.284 0.216 0.394 0.174 0.2
"48" 0.412 0.4 0.412 0.304 0.312 0.374 0.39 0.32 0.37 0.38
"49" 0.306 0.212 0.246 0.216 0.25 0.192 0.186 0.324 0.246 0.226
"50" 0.234 0.08 0.214 0.258 0.258 0.062 0.212 0.346 0.264 0.294
"51" 0.362 0.56 0.578 0.61 0.614 0.484 0.382 0.612 0.468 0.686
"52" 0.338 0.444 0.36 0.336 0.382 0.412 0.258 0.352 0.452 0.324
"53" 0.264 0.132 0.152 0.638 0.274 0.13 0.186 0.158 0.148 0.218
"54" 0.372 0.298 0.342 0.268 0.376 0.366 0.172 0.3 0.276 0.326
"55" 0.428 0.316 0.696 0.436 0.63 0.578 0.496 0.43 0.502 0.81
"56" 0.574 0.7 0.502 0.598 0.646 0.59 0.502 0.77 0.47 0.688
"57" 0.432 0.266 0.064 0.278 0.258 0.284 0.096 0.298 0.05 0.35
"58" 0.196 0.174 0.144 0.078 0.188 0.304 0.17 0.41 0.244 0.302
"59" 0.316 0.27 0.22 0.158 0.2 0.27 0.164 0.416 0.38 0.284
"60" 0.308 0.264 0.288 0.42 0.256 0.324 0.206 0.592 0.406 0.358
"61" 0.218 0.136 0.19 0.172 0.192 0.182 0.092 0.412 0.098 0.228
"62" 0.542 0.518 0.616 0.536 0.492 0.336 0.524 0.378 0.074 0.496
"63" 0.212 0.304 0.284 0.35 0.312 0.278 0.276 0.344 0.194 0.366
"64" 0.226 0.156 0.29 0.268 0.258 0.228 0.23 0.248 0.226 0.222
"65" 0.11 0.14 0.056 0.13 0.056 0.222 0.074 0.106 0.064 0.09
"66" 0.35 0.34 0.384 0.404 0.322 0.192 0.374 0.386 0.378 0.298
"67" 0.35 0.428 0.454 0.422 0.126 0.444 0.372 0.066 0.482 0.092
"68" 0.18 0.28 0.386 0.36 0.328 0.506 0.188 0.472 0.392 0.416
"69" 0.104 0.022 0.158 0.098 0.14 0.202 0.04 0.194 0.124 0.2
"70" 0.238 0.206 0.344 0.268 0.194 0.142 0.322 0.276 0.18 0.336
"71" 0.302 0.352 0.286 0.398 0.024 0.308 0.346 0.29 0.352 0.362
"72" 0.542 0.654 0.52 0.588 0.6 0.372 0.352 0.604 0.634 0.652
"73" 0.254 0.114 0.16 0.258 0.154 0.198 0.41 0.236 0.204 0.26
"74" 0.218 0.126 0.2 0.146 0.252 0.184 0.19 0.236 0.486 0.122
"75" 0.472 0.372 0.636 0.224 0.372 0.442 0.334 0.542 0.482 0.35
"76" 0.416 0.442 0.532 0.456 0.29 0.384 0.366 0.416 0.648 0.426
"77" 0.09 0.106 0.288 0.188 0.17 0.136 0.086 0.088 0.096 0.078
"78" 0.236 0.202 0.278 0.268 0.224 0.208 0.236 0.186 0.12 0.162
"79" 0.592 0.27 0.588 0.58 0.49 0.6 0.264 0.514 0.628 0.63
"80" 0.222 0.174 0.112 0.12 0.142 0.288 0.26 0.266 0.238 0.236
"81" 0.246 0.092 0.1 0.112 0.106 0.108 0.088 0.116 0.048 0.084
"82" 0.064 0.152 0.068 0.088 0.116 0.242 0.132 0.114 0.04 0.058
"83" 0.058 0.08 0.076 0.11 0.054 0.07 0.08 0.052 0.038 0.064
"84" 0.676 0.558 0.676 0.638 0.576 0.53 0.502 0.524 0.58 0.462
"85" 0.456 0.476 0.452 0.462 0.62 0.356 0.49 0.51 0.532 0.506
"86" 0.21 0.264 0.348 0.41 0.238 0.274 0.3 0.322 0.266 0.248
"87" 0.184 0.226 0.29 0.182 0.178 0.2 0.202 0.224 0.302 0.188
"88" 0.352 0.32 0.314 0.254 0.228 0.272 0.416 0.33 0.262 0.294
"89" 0.16 0.212 0.232 0.12 0.066 0.088 0.064 0.08 0.1 0.146
"90" 0.022 0.032 0.03 0.028 0.038 0.06 0.104 0.022 0.03 0.006
"91" 0.408 0.384 0.492 0.34 0.426 0.244 0.344 0.234 0.232 0.43
"92" 0.2 0.146 0.092 0.106 0.148 0.118 0.092 0.1 0.092 0.096
"93" 0.57 0.406 0.516 0.56 0.396 0.492 0.556 0.218 0.532 0.354
"94" 0.584 0.694 0.618 0.758 0.712 0.736 0.678 0.724 0.76 0.684
"95" 0.504 0.3 0.306 0.294 0.472 0.32 0.578 0.318 0.02 0.272
"96" 0.454 0.628 0.408 0.252 0.546 0.616 0.156 0.49 0.492 0.476
"97" 0.19 0.332 0.128 0.218 0.122 0.192 0.176 0.124 0.164 0.192
"98" 0.486 0.428 0.508 0.43 0.456 0.504 0.5 0.432 0.768 0.246
"99" 0.42 0.502 0.444 0.446 0.264 0.442 0.346 0.326 0.212 0.354
"100" 0.34 0.31 0.29 0.24 0.362 0.458 0.386 0.29 0.386 0.35
"101" 0.146 0.156 0.164 0.12 0.14 0.182 0.182 0.11 0.232 0.138
"102" 0.106 0.128 0.192 0.128 0.018 0.172 0.124 0.176 0.19 0.11
"103" 0.678 0.646 0.488 0.706 0.518 0.454 0.352 0.628 0.452 0.514
"104" 0.712 0.438 0.39 0.246 0.296 0.43 0.338 0.626 0.248 0.614
"105" 0.214 0.188 0.1 0.216 0.15 0.142 0.094 0.094 0.062 0.138
"106" 0.402 0.358 0.254 0.344 0.362 0.392 0.402 0.45 0.304 0.334
"107" 0.226 0.186 0.19 0.122 0.148 0.046 0.222 0.17 0.19 0.146
"108" 0.322 0.282 0.438 0.376 0.274 0.412 0.342 0.198 0.366 0.502
"109" 0.47 0.488 0.49 0.364 0.36 0.374 0.3 0.362 0.39 0.368
"110" 0.164 0.112 0.25 0.13 0.312 0.298 0.072 0.19 0.04 0.32
"111" 0.224 0.19 0.282 0.284 0.168 0.2 0.346 0.134 0.208 0.22
"112" 0.282 0.346 0.304 0.188 0.26 0.286 0.496 0.212 0.18 0.328
"113" 0.522 0.4 0.568 0.466 0.44 0.558 0.538 0.55 0.452 0.342
"114" 0.354 0.378 0.32 0.41 0.368 0.37 0.45 0.302 0.274 0.342
"115" 0.114 0.086 0.092 0.074 0.026 0.05 0.052 0.066 0.15 0.128
"116" 0.316 0.396 0.39 0.158 0.128 0.3 0.146 0.31 0.308 0.456
"117" 0.292 0.306 0.302 0.28 0.266 0.31 0.242 0.3 0.27 0.36
"118" 0.446 0.48 0.46 0.246 0.202 0.242 0.202 0.428 0.458 0.508
"119" 0.72 0.572 0.63 0.65 0.756 0.738 0.674 0.566 0.564 0.414
"120" 0.286 0.23 0.222 0.192 0.206 0.094 0.168 0.088 0.204 0.226
"121" 0.086 0.11 0.116 0.116 0.038 0.214 0.082 0.082 0.124 0.122
"122" 0.258 0.18 0.156 0.194 0.156 0.272 0.176 0.172 0.276 0.266
"123" 0.098 0.08 0.094 0.076 0.062 0.108 0.082 0.082 0.084 0.064
"124" 0.088 0.122 0.084 0.208 0.476 0.142 0.216 0.138 0.29 0.226
"125" 0.134 0.406 0.34 0.126 0.45 0.658 0.078 0.21 0.116 0.496
"126" 0.086 0.246 0.2 0.348 0.316 0.17 0.236 0.152 0.282 0.152
"127" 0.456 0.276 0.442 0.576 0.344 0.552 0.498 0.528 0.506 0.424
"128" 0.292 0.312 0.398 0.32 0.218 0.288 0.258 0.336 0.28 0.384
"129" 0.124 0.196 0.224 0.108 0.296 0.278 0.322 0.256 0.378 0.28
"130" 0.028 0.018 0.028 0.034 0.02 0.02 0.026 0.012 0.06 0.022
"131" 0.348 0.142 0.428 0.388 0.364 0.41 0.368 0.32 0.294 0.396
"132" 0.39 0.286 0.288 0.138 0.38 0.326 0.392 0.298 0.122 0.394
"133" 0.044 0.106 0.132 0.074 0.072 0.072 0.086 0.04 0.078 0.098
"134" 0.134 0.148 0.094 0.146 0.208 0.152 0.072 0.22 0.058 0.142
"135" 0.206 0.236 0.158 0.308 0.2 0.224 0.208 0.14 0.282 0.21
"136" 0.658 0.498 0.496 0.546 0.516 0.524 0.45 0.29 0.272 0.48
"137" 0.262 0.334 0.136 0.202 0.326 0.324 0.35 0.312 0.322 0.456
"138" 0.336 0.332 0.408 0.312 0.306 0.486 0.408 0.438 0.39 0.394
"139" 0.06 0.208 0.132 0.066 0.136 0.12 0.116 0.08 0.092 0.106
"140" 0.39 0.576 0.462 0.632 0.45 0.542 0.392 0.604 0.564 0.48
"141" 0.302 0.334 0.32 0.324 0.474 0.262 0.312 0.27 0.244 0.424
"142" 0.086 0.072 0.062 0.052 0.06 0.02 0.064 0.03 0.02 0.032
"143" 0.156 0.158 0.206 0.084 0.094 0.228 0.156 0.218 0.062 0.066
"144" 0.622 0.506 0.632 0.578 0.502 0.632 0.584 0.63 0.6 0.59
"145" 0.472 0.454 0.384 0.368 0.332 0.344 0.398 0.326 0.256 0.434
"146" 0.41 0.232 0.378 0.326 0.324 0.222 0.368 0.342 0.172 0.42
"147" 0.242 0.236 0.226 0.284 0.238 0.272 0.04 0.026 0.036 0.02
"148" 0.028 0.016 0.048 0.086 0.07 0.014 0.052 0.06 0.032 0.038
"149" 0.2 0.228 0.188 0.278 0.212 0.142 0.352 0.266 0.222 0.376
"150" 0.338 0.308 0.112 0.212 0.41 0.19 0.202 0.208 0.41 0.466
"151" 0.214 0.186 0.224 0.222 0.302 0.208 0.344 0.138 0.19 0.256
"152" 0.364 0.222 0.328 0.282 0.24 0.14 0.356 0.226 0.308 0.146
"153" 0.188 0.082 0.314 0.174 0.192 0.258 0.158 0.19 0.192 0.37
"154" 0.334 0.376 0.404 0.404 0.558 0.37 0.338 0.428 0.376 0.464
"155" 0.57 0.288 0.178 0.232 0.35 0.316 0.33 0.336 0.208 0.37
"156" 0.136 0.104 0.082 0.122 0.096 0.02 0.016 0.034 0.178 0.128
"157" 0.492 0.624 0.632 0.636 0.566 0.68 0.496 0.658 0.668 0.654
"158" 0.024 0.14 0.05 0.05 0.02 0.07 0.026 0.022 0.036 0.016
"159" 0.134 0.228 0.07 0.15 0.228 0.142 0.166 0.054 0.11 0.224
"160" 0.214 0.314 0.306 0.366 0.35 0.29 0.346 0.146 0.102 0.21
